"あいかわらず";"aikawarazu";"seperti biasanya; seperti sebelumnya; seperti biasa; tetap"
"著す";"arawasu";"untuk menulis; untuk menerbitkan"
"有難い";"arigatai";"bersyukur; berterima kasih; selamat datang; dihargai; membangkitkan rasa syukur"
"在る";"aru";"menjadi; untuk eksis; untuk hidup, untuk memiliki, untuk ditempatkan, untuk dilengkapi dengan, untuk terjadi; akan terjadi"
"あれこれ";"arekore";"ini dan itu; ini atau itu; satu atau lain hal; kesana kemari, berkeliling; tentang; dengan kasar; hampir"
"あわただしい";"awatadashii";"sibuk; keburu; bingung"
"あわてる";"awateru";"menjadi bingung (bingung, tidak terorganisir, tidak terorganisir); menjadi bingung; panik, terburu-buru; untuk terburu-buru; untuk mempercepat"
"安易";"an'i";"mudah; sederhana, santai; periang; sederhana; tidak bertanggung jawab; ceroboh; cepat (untuk melakukan)"
"あんがい";"angai";"tiba-tiba; secara mengejutkan, tidak terduga; mengejutkan"
"言い出す";"iidasu";"untuk mulai mengatakan; untuk mulai berbicara; untuk memulai pembicaraan (suatu masalah); untuk membesarkan; untuk keluar dengan, menjadi orang pertama yang mengatakan; untuk menyarankan (melakukan); Melamar"
"言い付ける";"iitsukeru";"untuk memberitahu (melakukan); untuk memesan; untuk mengisi daya; untuk mengarahkan, memberi tahu (seseorang); untuk mengadu; melaporkan, sering mengatakan"
"生き生き";"ikiiki";"dengan cara yang hidup; dengan jelas; baru saja; dengan penuh semangat; secara aktif"
"いきなり";"ikinari";"tiba-tiba; tanpa peringatan"
"いぎ";"igi";"arti; makna ; keberatan; perbedaan pendapat; protes ; batang (dari pohon pelana) ; harga diri; keagungan; cara yang bermartabat ; beda arti, beda pendapat"
"育児";"ikuji";"penitipan anak; mengasuh anak; perawatan; asuhan"
"幾分";"ikubun";"agak; sampai batas tertentu; sampai taraf tertentu, beberapa; bagian"
"生け花";"ikebana";"ikebana; Seni merangkai bunga Jepang, bunga segar; bunga alami"
"以降";"ikou";"pada dan sesudahnya; dari... dan seterusnya; sejak"
"以後";"igo";"sesudah ini; dari sekarang; selanjutnya, setelahnya; Dari dulu"
"勇ましい";"isamashii";"berani; gagah, mengaduk; kuat; meriah"
"衣食住";"ishokujuu";"kebutuhan hidup (makanan, sandang dan papan)"
"意地悪";"ijiwaru";"jahat; pemarah; kasar"
"いちいち";"ichiichi";"satu per satu; secara terpisah, setiap orang; masing-masing dan setiap; tanpa kelalaian; sepenuhnya; secara terperinci"
"いちおう";"ichiou";"lebih atau kurang; meski belum cukup memuaskan; mengikuti mode; kurang lebih; dengan kasar; sejauh ini, secara tentatif; untuk saat ini, untuk berjaga-jaga, sekali"
"一段と";"ichidanto";"lebih besar; lagi; lebih jauh; masih lebih"
"一流";"ichiryuu";"kelas utama; kelas atas; terutama; hasil terbaik; terkemuka, karakteristik; aneh; unik, sekolah (misalnya seni pertunjukan), satu bendera; satu spanduk; satu pita"
"一昨年";"issakunen ; ototoshi";"tahun lalu"
"いっせい";"issei";"serentak; semua sekaligus ; generasi; seumur hidup, usia; hari, yang pertama (misalnya Elizabeth I), issei; generasi pertama Jepang (atau Korea, dll.) ; suara; menangis; berteriak"
"いったん";"ittan";"sekali, untuk waktu yang singkat; secara singkat; untuk sementara, suatu pagi ; satu ujung; bagian akhir, ; pecahan ; perkakas bambu (untuk menyimpan makanan); piring bambu ; sepersepuluh hektar"
"一定";"ittei ; ichijou";"tetap; mapan; konstan; pasti; seragam; diatur; ditentukan; terstandarisasi; yakin"
"いってまいります";"ittemairimasu";"selamat tinggal; Aku pergi; sampai jumpa lagi"
"いってらっしゃい";"itterasshai";"semoga harimu menyenangkan; Hati-hati; sampai jumpa"
"いつ";"itsu";"Kapan; pada pukul berapa; seberapa cepat, waktu normal; hari-hari biasa ; lima; 5 ; membekukan ; satu, sama (pikiran, jalan, dll.) ; meluap; penuh ; mengapa, bagaimana, kapan ; merasa nyaman; santai"
"いつのまにか";"itsunomanika";"sebelum orang mengetahuinya; sebelum seseorang menyadarinya; tanpa disadari; tidak sadar"
"移転";"iten";"bergerak; relokasi; perubahan alamat, pemindahan (akta, harta benda, dan lain-lain); kematian"
"いとこ";"itoko";"sepupu laki-laki ; sepupu perempuan ; sepupu (pria yang lebih tua) ; sepupu (perempuan yang lebih tua) ; sepupu (laki-laki yang lebih muda) ; sepupu (perempuan yang lebih muda)"
"いど";"ido";"lintang (nav.) ; sumur air ; tempat duduk, pantat seseorang"
"いばる";"ibaru";"untuk mengudara; untuk bertindak besar; untuk membuang beban; menjadi sombong; untuk mendominasi; menjadi suka memerintah; menjadi memaksa; untuk bangga; untuk menyombongkan diri; membanggakan"
"いやがる";"iyagaru";"membenci; tidak suka"
"いよいよ";"iyoiyo";"semakin; terlebih lagi, akhirnya; tidak diragukan lagi, (pada) saat-saat terakhir; waktu terburuk yang mungkin terjadi ; luas, penuh; mengisi; menyelesaikan"
"いる";"iru";"masuk; untuk masuk; mengalir ke; untuk mengatur ; menjadi (dari benda bernyawa); untuk ada, untuk tinggal, untuk menjadi...-ing; telah...-ing ; untuk terbenam di luar cakrawala Barat (yaitu Matahari) ; untuk menenangkan diri ; untuk menuangkan; untuk mengalirkan (air) ke atas; untuk menyiram ; untuk memimpin; untuk menjadi ujung tombak; untuk memerintahkan, untuk membawa; untuk mengambil ; untuk menembak (panah, baut, panah) ; memanggang; untuk mengeringkan; untuk bersulang; untuk mendidih ; dibutuhkan; diinginkan ; untuk membuang; untuk mencetak; untuk koin"
"入れ物";"iremono";"wadah; kasus, peti mati"
"引力";"inryoku";"daya tarik (misalnya magnet, gravitasi); afinitas; tarikan gravitasi, daya tarik"
"植木";"ueki";"semak taman; pohon; tanaman di dalam pot"
"上下";"ueshita ; jouge ; kamishimo ; shouka ; jouka";"atas dan bawah; naik dan turun; tinggi dan rendah; di atas dan di bawah; ujung atas dan bawah, terbalik ; atas dan bawah; tinggi dan rendah; di atas dan di bawah; ujung atas dan bawah; naik dan turun, naik dan turun; berfluktuasi, pergi dan kembali, kelas atas dan bawah; penguasa dan memerintah; pemerintah dan rakyat, jilid pertama dan kedua ; kostum samurai; kostum upacara lama, atas dan bawah; naik dan turun; tinggi dan rendah; di atas dan di bawah; ujung atas dan bawah ; atas dan bawah; naik dan turun; tinggi dan rendah; di atas dan di bawah; ujung atas dan bawah, kelas atas dan bawah; penguasa dan memerintah; pemerintah dan rakyat"
"うえる";"ueru";"kelaparan; menjadi lapar, kelaparan (misalnya cinta); haus akan (misalnya pengetahuan); untuk merasa lapar ; menanam; untuk tumbuh; untuk menaikkan, memasukkan; untuk transplantasi; untuk menanamkan; untuk mengatur (mengetik), untuk menyuntik (misalnya agen penular), untuk menanamkan (ide, nilai, dll.); untuk ditanamkan ; untuk mengolah, menanam; untuk merawat tanaman"
"浮ぶ";"ukabu";"untuk mengapung; untuk digantung, naik ke permukaan; muncul; memunculkan; menunjukkan; untuk menjulang (naik), terlintas dalam pikiran; untuk mendapatkan inspirasi"
"浮かべる";"ukaberu";"untuk mengapung; untuk meluncurkan, untuk menunjukkan di wajah seseorang (senyum, kesedihan, dll.), untuk mengingat; untuk mengingatkan; untuk membayangkan; untuk dipikirkan"
"浮く";"uku";"untuk mengapung, menjadi gembira; menjadi ceria, menjadi santai; menjadi goyah, merasa keluar dari situ; untuk disingkirkan (misalnya dari orang-orang di sekitar Anda); merasa tidak pada tempatnya, menjadi sembrono; menjadi tidak yakin, mempunyai sisa (waktu, uang, dll.); untuk diselamatkan (misalnya uang), tidak memiliki dasar; menjadi tidak dapat diandalkan"
"承る";"uketamawaru";"mendengar; untuk diberitahu; mengetahui, menerima (memesan); untuk melakukan; untuk memenuhi; untuk mengambil (reservasi, dll.)"
"受取";"uketori";"menerima; kuitansi"
"受け持つ";"ukemotsu";"untuk mengambil (bertanggung jawab) atas"
"薄暗い";"usugurai";"redup; muram"
"薄める";"usumeru";"untuk mencairkan; untuk mempermudah"
"埋める";"uzumeru";"menutupi; untuk mengubur (misalnya wajah di tangan); untuk menenggelamkan, untuk mengisi (sepenuhnya); untuk mengisi; untuk berkemas; untuk menjejalkan ; untuk mengubur (misalnya di dalam tanah), untuk mengisi (misalnya penonton memenuhi aula); menyebabkan dikemas, menyumbat (celah); untuk berhenti (celah); untuk menjembatani (perbedaan, kesenjangan); untuk mengisi (kursi, posisi kosong); untuk mengisi, untuk menebus (kerugian, kekurangan, dll); untuk menebus kesalahan; sebagai kompensasi, memasukkan air dingin (ke dalam bak mandi), untuk menutupi; untuk menyebarkan sesuatu"
"打合せ";"uchiawase";"pengaturan terlebih dahulu; pertemuan persiapan; sesi pengarahan, tumpang tindih (mantel, dll.), membuat sesuatu sama persis"
"打ち消す";"uchikesu";"untuk menolak; untuk bertentangan, untuk meniadakan (khususnya suara); untuk tenggelam"
"うっかり";"ukkari";"sembarangan; tanpa berpikir panjang; secara tidak sengaja"
"うつ";"utsu";"depresi; semangat rendah, subur (tumbuhan) ; untuk menembak (pada), untuk menyerang; Untuk mengalahkan; untuk menghancurkan; untuk membalas dendam ; untuk memukul; untuk menyerang; untuk mengetuk; untuk mengalahkan; memukul; menampar; untuk menggedor; bertepuk tangan; menumbuk, menyerang (siang hari, dsb.); untuk membunyikan (simbal, dll.); menabuh (drum, dll.), menabuh (secara berirama, misalnya denyut nadi, gelombang, dll.), bergerak; untuk mengesankan; untuk menyentuh, untuk mengemudi; untuk memalu; untuk memasukkan; untuk menyuntikkan; untuk memvaksinasi, mengetik; mengirim; untuk mengirimkan, untuk menyisipkan; untuk menulis; untuk menandai, untuk membuat (mie, dll.); untuk mempersiapkan, untuk mengolah (tanah), untuk memercik; untuk melempar; untuk melemparkan, untuk melakukan; untuk melaksanakan; bermain; terlibat dalam (perjudian, dll.), membayar (deposit, dll.), mengunjungi (berziarah), mengikat (mantel), mengikat (penjahat) ; berkomentar, mengkritik; grosir ; penyiksaan dan interogasi; memukul ; menumbuk, memukul; menyerang ; untuk menyerang; untuk menghukum"
"映す";"utsusu";"untuk memproyeksikan; mencerminkan; untuk melemparkan (bayangan)"
"映る";"utsuru";"untuk direfleksikan; untuk menyelaraskan dengan (menyelaraskan); untuk keluar (foto); untuk diproyeksikan; untuk ditampilkan (di layar)"
"写る";"utsuru";"untuk difoto; untuk diproyeksikan"
"うどん";"udon";"udon; mie gandum Jepang yang kental ; Mie Jepang, (kokuji)"
"うむ";"umu";"ada atau tidak adanya; ada atau tidaknya, persetujuan atau penolakan; ya atau tidak ; Melahirkan; untuk melahirkan (anak); untuk bertelur (telur), untuk menghasilkan; untuk menimbulkan; mengantarkan ; Ya; eh ya, bersenandung; hmmm; Sehat; eh; ya?, oof ; untuk matang ; untuk memintal (misalnya rami, rami, dll.) ; melahirkan anak; ramah tamah ; membusuk; membentuk nanah ; bosan (melakukan); kehilangan minat"
"敬う";"uyamau";"untuk menunjukkan rasa hormat; untuk menghormati; untuk menyembah; untuk tetap menghargai"
"裏返す";"uragaesu";"untuk membalikkan badan; untuk berbalik ke arah lain; untuk membalikkan (sesuatu)."
"裏口";"uraguchi";"pintu belakang; pintu masuk belakang; pintu keluar belakang, tidak sah; dilarang; liar"
"占う";"uranau";"untuk meramal nasib seseorang; untuk meramalkan; untuk memprediksi; menjadi ilahi"
"うらみ";"urami";"kebencian; sakit hati; kepahitan, penting untuk penyesalan ; lekukan pantai ; kebencian, permusuhan"
"うらむ";"uramu";"untuk menaruh dendam terhadap; untuk membenci; menyalahkan; untuk mengutuk; merasa pahit terhadapnya ; menyesal"
"うらやましい";"urayamashii";"iri; cemburu, patut ditiru (posisi, dll.)"
"うらやむ";"urayamu";"iri; menjadi iri; untuk membuat iri"
"売上";"uriage";"jumlah yang terjual; penjualan; hasil; pendapatan; pergantian"
"売り切れ";"urikire";"terjual habis"
"売り切れる";"urikireru";"untuk terjual habis"
"売行き";"ureyuki";"penjualan; tuntutan"
"うろうろ";"urouro";"gelisah; tanpa tujuan, untuk bermalas-malasan; melayang; untuk bertahan tanpa melakukan apa pun; mengembara tanpa tujuan; menjadi gelisah, menjadi gelisah; untuk ribut"
"運河";"unga";"kanal (dapat dinavigasi); jalan air"
"うんと";"unto";"Kesepakatan yang bagus; sangat banyak; banyak, dengan usaha yang besar"
"英文";"eibun";"tulisan bahasa Inggris; kalimat bahasa Inggris; Teks bahasa Inggris, Sastra Inggris"
"英和";"eiwa";"Kamus Inggris-Jepang, Inggris-Jepang"
"ええと";"eeto";"biarku lihat; Sehat; salah...; uhh..."
"液体";"ekitai";"cairan"
"絵の具";"enogu";"cat; bahan pewarna; warna"
"偉い";"erai";"Besar; bagus sekali; terpuji; luar biasa; terpandang; penting; terkenal; terkemuka, sangat merepotkan; buruk sekali; sangat buruk, melelahkan; tangguh, sangat"
"えんかい";"enkai";"berpesta; perjamuan; penerimaan; pesta; makan malam ; pesisir; pantai; dekat pantai; perairan pantai ; penundaan (penundaan) rapat ; laut dalam; laut ; laut pedalaman; laut epikontinental; laut epirik; laut marginal"
"園芸";"engei";"hortikultura; berkebun"
"演劇";"engeki";"drama; teater; bermain"
"円周";"enshuu";"lingkar"
"遠足";"ensoku";"tamasya; perjalanan"
"延長";"enchou";"perpanjangan; pemanjangan, era Enchō (923.4.11-931.4.26)"
"煙突";"entotsu";"cerobong asap; cerobong; corong (dari kapal), membawa penumpang tanpa menyalakan Argometer"
"追い掛ける";"oikakeru";"untuk mengejar"
"追い越す";"oikosu";"untuk lewat (misalnya mobil); untuk menyalip, melampaui; untuk melampaui; untuk menjadi yang terdepan; untuk melampaui jarak"
"おうえん";"ouen";"bantuan; pendampingan; membantu; mendukung; penguatan, bersorak; rooting (untuk); mendukung ; kuning krom"
"王女";"oujo ; ounyo";"putri"
"おうずる";"ouzuru";"untuk menjawab; untuk merespon; untuk bertemu, untuk memuaskan; menerima"
"おうせつ";"ousetsu";"penerimaan (misalnya pengunjung); berurusan dengan"
"おうたい";"outai";"berurusan dengan (orang, pelanggan, keluhan, dll.); penerima (penelepon, pengunjung, dll); memperhatikan; penanganan; porsi ; pangkat; garis ; korpus luteum"
"おうふく";"oufuku";"melakukan perjalanan pulang pergi; pergi dan kembali; datang dan pergi, tiket pulang pergi; tiket pulang, korespondensi; bertukar (surat), bersosialisasi; mengunjungi satu sama lain"
"欧米";"oubei";"Eropa dan Amerika; Barat"
"おうよう";"ouyou";"aplikasi praktis; menerapkannya secara praktis, diterapkan ; berhati besar; dermawan; liberal; dengan tangan terbuka; murah hati; santai, tenang; tersusun; Dingin; dikumpulkan"
"おおざっぱ";"oozappa";"kasar (perkiraan, cara, dll); mentah; luas; longgar; ceroboh (bekerja)"
"大通り";"oodoori";"jalan utama"
"おおよそ";"ooyoso";"tentang; dengan kasar; kira-kira, umumnya; secara keseluruhan; sebagai aturan, sepenuhnya; lumayan; sama sekali; tidak sama sekali (dengan kata kerja neg.), garis besar; inti"
"お帰り";"okaeri";"kembali, selamat datang di rumah"
"おかけください";"okakekudasai";"silakan duduk; silahkan duduk"
"おかげさまで";"okagesamade";"untungnya; untung; Untunglah; dengan rahmat Tuhan; di bawah bayang-bayang para dewa, berkat kebaikan Anda (dia, mereka, semua orang, dll.); terima kasih atas bantuan Anda; terima kasih atas dukungan Anda; terima kasih atas usahamu"
"おかず";"okazu";"piring kecil (biasanya salah satu dari beberapa nasi pendamping); lauk, isi; bahan pengisi (drum), jack-off; sesuatu untuk melakukan masturbasi"
"お代わり";"okawari";"bantuan lain; Bantuan kedua; detik; isi ulang, perintah agar anjing meletakkan kaki keduanya di tangan seseorang"
"拝む";"ogamu";"untuk mengambil posisi berdoa; untuk menekan telapak tangan dan jari kedua tangan bersamaan; untuk melakukan penghormatan (misalnya di hadapan patung Buddha); untuk memberi hormat, meminta; untuk membuat permohonan, untuk melihat (sesuatu atau seseorang yang berstatus tinggi)"
"おきのどくに";"okinodokuni";"simpati saya; itu sayang sekali; belasungkawa"
"補う";"oginau";"untuk melengkapi; untuk menebus; untuk mengkompensasi; untuk menutupi (kekurangan, kerugian, dll); untuk mengisi (misalnya lowongan)"
"屋外";"okugai ; yado";"di luar rumah; di luar ; di luar dekat pintu rumah seseorang"
"おくさん";"okusan";"istri; istri Anda; istrinya; wanita yang sudah menikah; nyonya"
"おくりがな";"okurigana";"kana ditulis setelah kanji untuk melengkapi pembacaan kata secara lengkap (biasanya kun); akhiran kana deklinasi"
"おげんきで";"ogenkide";"Hati-hati; dengan baik; selamat tinggal"
"おこたる";"okotaru";"lalai dalam melakukan sesuatu; untuk mengelak; menjadi lengah ; malas, ceroboh ; lambat(ly), santai, lamban"
"押える";"osaeru";"untuk menjabarkan; untuk menahan; menekan, untuk menutupi (khususnya bagian tubuh dengan tangan); untuk mencengkeram (bagian tubuh yang sakit); untuk menekan (bagian tubuh), untuk memegang; untuk memperoleh; untuk meraih; untuk menangkap, untuk memahami (suatu hal); untuk memahami, untuk memadamkan; untuk menundukkan; menekan; untuk menekan; untuk menahan; untuk memeriksa; untuk mengekang; untuk menampung"
"おさきに";"osakini";"sebelum; sebelumnya, depan, maafkan aku karena telah pergi (sebelum kamu)"
"おさめる";"osameru";"untuk memerintah; untuk mengatur, menundukkan ; untuk belajar; untuk menyelesaikan (kursus); untuk mengolah; menguasai, memerintahkan (kehidupan seseorang), memperbaiki (kesalahan yang dilakukan seseorang) ; untuk membayar (biaya, pajak, dll.); untuk mendedikasikan; untuk memberikan persembahan, untuk memasok, untuk menyimpan, untuk menyelesaikan; untuk mengakhiri, untuk mengembalikan (sesuatu ke tempatnya), untuk mencapai (misalnya hasil)"
"治める";"osameru";"untuk memerintah; untuk mengatur, menundukkan"
"おしい";"oshii";"disesalkan; mengecewakan; malang, berharga; Sayang, terlalu bagus untuk; layak mendapatkan yang lebih baik, hampir (tetapi tidak sepenuhnya); tutup (tapi tidak ada cerutu)"
"おしゃれ";"oshare";"berpakaian rapi; bergaya; sadar mode, seseorang yang berpakaian cerdas, untuk berdandan; menjadi modis"
"おじぎ";"ojigi";"busur; membungkuk"
"おじさん";"ojisan";"paman, orang tua; tuan, ikan kambing manybar (Parupeneus multifasciatus)"
"小父さん";"ojisan";"paman, orang tua; tuan, ikan kambing manybar (Parupeneus multifasciatus)"
"おじゃまします";"ojamashimasu";"mohon maaf atas gangguan tersebut; aku masuk"
"教わる";"osowaru";"untuk diajarkan; untuk mempelajari; untuk mengambil pelajaran"
"おだいじに";"odaijini";"jaga dirimu; semoga segera sembuh; Tuhan memberkati"
"落着く";"ochitsuku";"untuk menenangkan diri; untuk mendapatkan kembali kesadaran, untuk menenangkan diri; untuk menetap; untuk mereda; menjadi stabil, menetap (di suatu lokasi, pekerjaan, dll.); untuk menetap, untuk diselesaikan; untuk diperbaiki; telah tercapai, untuk diselaraskan dengan; untuk menyelaraskan dengan; untuk mencocokkan; sesuai; untuk menyesuaikan, agar tidak mengganggu; diam; untuk ditundukkan"
"お手伝いさん";"otetsudaisan";"pembantu"
"お出掛け";"odekake";"akan memulai; baru saja hendak berangkat atau keluar, jalan-jalan; perjalanan"
"落し物";"otoshimono";"barang hilang; sesuatu terjatuh dan tertinggal"
"一昨日";"ototoi ; ototsui ; issakujitsu";"kemarin lusa"
"おととい";"ototoi";"kemarin lusa"
"おととし";"ototoshi";"tahun lalu"
"おとなしい";"otonashii";"patuh; jinak; diam"
"おどかす";"odokasu";"mengancam; untuk mengancam; untuk mengintimidasi, mengejutkan; untuk menakuti"
"おどろかす";"odorokasu";"untuk mengejutkan; untuk menakuti; untuk membuat keributan"
"おねがいします";"onegaishimasu";"Tolong"
"おのおの";"onoono";"masing-masing, kamu (jamak)"
"おはよう";"ohayou";"Selamat pagi"
"おばさん";"obasan";"tante ; wanita tua; bu"
"お参り";"omairi";"kunjungan (ke kuil, kuburan, dll); memuja"
"おまたせしました";"omataseshimashita";"Terima kasih telah menunggu; maaf telah membuatmu menunggu"
"おまちください";"omachikudasai";"harap tunggu (sopan)"
"おまちどおさま";"omachidoosama";"Aku minta maaf telah membuatmu menunggu"
"おめでたい";"omedetai";"spesial; menguntungkan; senang, naif; tidak bersalah; baik hati; mudah dibodohi; konyol"
"思い掛けない";"omoigakenai";"tidak terduga; bertentangan dengan harapan; kebetulan; kasual"
"思い込む";"omoikomu";"untuk diyakinkan (itu); mendapat kesan (itu); merasa yakin (itu); berasumsi (itu), mengambil keputusan; untuk menetapkan hati seseorang; untuk bertekad (melakukan); cenderung, terobsesi (dengan pemikiran, ide, dll.); untuk berpikir secara obsesif"
"思いっ切り";"omoikkiri";"sepuasnya; sebanyak yang diinginkan; sekeras yang bisa; dengan segenap kekuatannya; dengan kemampuan terbaiknya; sepenuhnya; dengan tekad; resolusi berat, ; ketegasan; tekad; pengunduran diri"
"思い付く";"omoitsuku";"untuk memikirkan; untuk menyerang; untuk muncul dalam pikiran seseorang; untuk dikejutkan dengan sebuah ide, untuk diingat; untuk mengingat"
"重たい";"omotai";"berat; berbobot, berat (perasaan, suasana, dll.); serius; muram"
"おやすみ";"oyasumi";"hari libur; libur; ketidakhadiran, tidur; istirahat, Selamat malam"
"おやつ";"oyatsu";"snack di antara waktu makan, snack sore hari (sekitar jam 3); minuman sore; teh sore"
"親指";"oyayubi";"ibu jari, ibu jari kaki"
