"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"当たる";"ataru";"untuk dipukul; untuk menyerang, menyentuh; untuk berhubungan; dibubuhkan, setara dengan; untuk dapat diterapkan; untuk melamar, untuk menjadi benar dalam hal uang (prediksi, kritik, dll.), untuk dipilih (dalam lotere, dll.); untuk menang, menjadi sukses; untuk berjalan dengan baik; menjadi pukulan, untuk dihadapi; untuk menghadapi, berbohong (ke arah), untuk melakukan; ditugaskan, untuk terserang (keracunan makanan, panas, dan lain-lain); ditimpa, dipanggil (misalnya oleh guru), untuk diperlakukan (khususnya dengan kasar); untuk menyerang, tidak perlu, untuk memukul dengan baik; terkena pukulan, merasakan gigitan (saat memancing), (buah, dll.) hingga memar; untuk memanjakan, merasakan (sesuatu) keluar; untuk menyelidiki; untuk memeriksa (yaitu sebagai perbandingan), mencukur, menjadi kerabat seseorang; menjadi... dalam kaitannya dengan...; untuk berdiri dalam suatu hubungan"
"あちこち";"achikochi";"di sana-sini; semuanya; di mana pun; selama; seluruh, untuk mendapatkan segala sesuatunya dalam urutan yang salah (belakang ke depan); menjadi kacau"
"あっ";"a";"ah; oh, hei!"
"あつかう";"atsukau";"untuk berurusan dengan (seseorang); untuk mengobati; untuk menangani; untuk mengurus; untuk menghibur, untuk menangani (masalah); untuk menangani; untuk mengelola, mengoperasikan (misalnya mesin); untuk menangani; untuk bekerja, untuk berurusan; untuk menjual, untuk meliput (sebuah topik); untuk mengobati; mendiskusikan; mengambil, memperlakukan A sebagai B, menengahi (argumen), menjadi terlalu berlebihan bagi seseorang; untuk menemukan tak terkendali, untuk bergosip"
"集まり";"atsumari";"mengumpulkan; pertemuan; perakitan; koleksi; kehadiran"
"当てる";"ateru";"untuk menekan, untuk mengekspos, untuk menerapkan (misalnya patch); untuk memakai; untuk melawan; untuk bertahan; untuk menahan, untuk membagikan; memanggil seseorang (misalnya di kelas), menebak (jawaban), membuat pukulan (misalnya dalam lotere)"
"後";"ato ; nochi ; go ; ushiro ; shiri";"di belakang; belakang, setelah; nanti, sisa; sisanya, lebih banyak (misalnya lima menit lagi); kiri, juga; selain itu, keturunan; penerus; pewaris, setelah kematian seseorang, masa lalu; sebelumnya ; Nanti; setelahnya, masa depan, setelah kematian seseorang, keturunan ; kembali; di belakang; belakang ; pantat; di belakang; dasar; pinggul, permukaan bawah; terbawah, tempat terakhir; akhir, konsekuensi"
"あと";"ato";"di belakang; belakang, setelah; nanti, sisa; sisanya, lebih banyak (misalnya lima menit lagi); kiri, juga; selain itu, keturunan; penerus; pewaris, setelah kematian seseorang, masa lalu; sebelumnya ; jejak; trek; tanda, situs; tetap; reruntuhan, bekas luka ; jejak kaki, jejak ; jejak; jejak kaki"
"あな";"ana";"lubang; pembukaan; perforasi, lubang; kosong; lubang (di dalam tanah, dll.), liang; sarang; suaka; lubang, defisit; kekurangan; orang hilang (dalam tim, rapat, dll.), lowongan; pembukaan, cacat, tempat rahasia yang terawat baik, kemenangan yang mengecewakan (dengan imbalan yang besar), lubang (teater), tempat persembunyian, bagian bawah (masyarakat, dll.) ; ah!; Oh! ; parit ; masuk ke dalam, terjun, tatahan ; lubang, gua"
"あびる";"abiru";"untuk menabrak diri sendiri (misalnya air); untuk mengambil (misalnya mandi); untuk berjemur (misalnya matahari); untuk mandi; dibanjiri (misalnya cahaya); untuk dilindungi, untuk menderita (misalnya serangan); untuk menarik (misalnya kritik, perhatian, pujian); untuk ditimbun; untuk dihujani"
"あぶら";"abura";"gemuk; lemak; lemak babi ; minyak"
"余り";"amari ; anmari";"sisa; istirahat; keseimbangan; kelebihan; sisa (makanan), (tidak) sangat; (tidak) banyak, terlalu banyak; berlebihan; terlalu, ekstrim; Besar; berat; luar biasa besar; mengerikan, lebih dari; lebih"
"誤り";"ayamari";"kesalahan; tergelincir; serangga"
"あら";"ara";"Oh; ah ; baru; tidak terpakai, baru, jelas; alami ; bagian tulang yang tersisa (ikan setelah dipotong), cacat (khususnya manusia); kesalahan; cacat, sekam padi, kasar, mentah; alami; liar ; tempat bertengger bermata gergaji (Niphon spinosus)"
"あらし";"arashi";"badai; angin ribut ; hujan badai ; badai, kegaduhan; keributan; badai (misalnya protes); angin (misalnya perubahan) ; (Internet) troll; pengganggu, menimbulkan kekacauan; membuang sampah; trolling; vandalisme, perampokan, perampok; maling ; kasar, kikuk, kejam"
"新た";"arata";"baru; segar; novel"
"あらゆる";"arayuru";"semua; setiap"
"表す";"arawasu ; hyousu";"untuk mewakili; untuk menandakan; untuk membela, untuk mengungkapkan; memperlihatkan; untuk menampilkan, mengekspresikan, untuk membuat dikenal luas ; untuk mengekspresikan; memperlihatkan"
"現す";"arawasu";"untuk mewakili; untuk menandakan; untuk membela, untuk mengungkapkan; memperlihatkan; untuk menampilkan, mengekspresikan, untuk membuat dikenal luas"
"現れ";"araware";"perwujudan; manifestasi; materialisasi; ekspresi; indikasi"
"現れる";"arawareru";"muncul; untuk terlihat; menjadi terlihat; untuk keluar; untuk mewujudkan; untuk terwujud; untuk diwujudkan, untuk diungkapkan (misalnya emosi); menjadi jelas (misalnya tren, efek)"
"ありがとう";"arigatou";"Terima kasih"
"有る";"aru";"menjadi; untuk eksis; untuk hidup, untuk memiliki, untuk ditempatkan, untuk dilengkapi dengan, untuk terjadi; akan terjadi"
"ある";"aru";"menjadi; untuk eksis; untuk hidup, untuk memiliki, untuk ditempatkan, untuk dilengkapi dengan, untuk terjadi; akan terjadi ; tertentu...; beberapa..."
"あるいは";"aruiha";"atau; baik... atau, mungkin, beberapa... dan lainnya...; kadang-kadang... dan di lain waktu... ; unggul, melampaui, jika, mungkin"
"あわ";"awa";"gelembung; busa; buih; langsung minum bir ; millet buntut rubah (Setaria italica); Millet Italia (juga Hongaria, Jerman) ; Awa (bekas provinsi yang terletak di Prefektur Tokushima saat ini) ; Awa (bekas provinsi yang terletak di selatan Prefektur Chiba saat ini) ; beras berkualitas tinggi"
"合わせる";"awaseru";"untuk mencocokkan (irama, kecepatan, dll.), untuk bergabung bersama; untuk bersatu; untuk menggabungkan; untuk menambahkan, untuk menghadapi; menjadi lawan (seseorang), untuk membandingkan; untuk memeriksa, menyebabkan pertemuan (misalnya nasib yang tidak menyenangkan), untuk ditempatkan bersama; untuk menghubungkan; untuk tumpang tindih, untuk mencampur; untuk menggabungkan, untuk menempatkan pisau ke pisau; untuk bertarung"
"あわれ";"aware";"disayangkan; duka; penderitaan; kasih sayang; menyedihkan, menyedihkan; sengsara, alack; Sayang"
"あん";"an";"pertapaan; mundur ; ide; rencana; usul; saran; rancangan undang-undang, (pemerintah); salinan kasar, harapan, meja; berdiri ; itu ; pasta kacang merah; selai kacang merah; anko, saus kudzu, isian (dari pangsit, dll.), isian; di dalam ; kegelapan ; pakai tangan, tekan ke bawah dengan tangan ; damai, tenang; jernih; di sore hari ; hitam gelap"
"暗記";"anki";"menghafal; belajar dengan hati"
"安定";"antei";"stabilitas; kemantapan; keseimbangan"
"あんない";"annai";"panduan; memimpin jalan); menunjukkan sekitar, informasi; melihat; pemberitahuan, pengumuman (kedatangan seseorang), undangan, kenalan; pengetahuan"
"あんなに";"annani";"sejauh itu; sampai tingkat itu; banyak"
"あんまり";"anmari";"sisa; istirahat; keseimbangan; kelebihan; sisa (makanan), (tidak) sangat; (tidak) banyak, terlalu banyak; berlebihan; terlalu, ekstrim; Besar; berat; luar biasa besar; mengerikan, lebih dari; lebih"
"い";"i";"bendungan; bendung; penghalang; pintu air ; pangkat; tempat (misalnya tempat pertama), tempat desimal, penghitung hantu ; perut, Rasi bintang "perut" Cina (salah satu dari 28 rumah besar) ; obat-obatan; seni penyembuhan; menyembuhkan, dokter ; lima; 5 ; Babi Hutan (tanda kedua belas zodiak Cina); Babi, jam Babi Hutan (sekitar jam 22.00, 21.00-23.00, atau 22.00 hingga 12.00 tengah malam), utara-barat laut, bulan kesepuluh kalender lunar ; tidur ; lima puluh; 50 ; Sehat ; demam lembut (Juncus effusus var. decipiens); kesibukan umum ; perbedaan (pendapat), aneh; tidak biasa, berbeda ; perasaan; pikiran, arti ; babi (khususnya babi hutan, tetapi juga termasuk babi peliharaan) ; Italia ; berada (di suatu tempat), duduk ; pakaian; garmen; gaun ; memperkuat pertanyaan, penegasan, dll. ; kekuatan; otoritas; mungkin; pengaruh; harga diri; keagungan ; kemudahan ; barbar ; kebesaran ; baik; menyortir; jenis ; menunjuk, mengirim, menugaskan ; melalui; oleh karena itu; anggap sebagai; untuk ; mengelilingi, kandang; cambuk ; ganti tempat, ganti; bergerak ; kursi ; tidak taat, melanggar, menentang; terpisah dari ; kenyamanan, penghiburan, ketenangan ; sudah; selesai; berhenti ; prinsip moral ; bersukacita, nikmatilah ; amarah ; indah, luar biasa ; cedera ; partikel kalimat ; tinggalkan, hadiah ; panjang, berkelok-kelok, miring ; radikal kulit samak (no. 178) ; pakan; pakan (benang melintang pada alat tenun)"
"位";"i ; kurai";"pangkat; tempat (misalnya tempat pertama), tempat desimal, penghitung hantu ; takhta; mahkota; kursi (bangsawan), posisi pemerintahan; pangkat pengadilan, kedudukan sosial; pangkat; kelas; eselon; anak tangga, tingkat (kualitas, dll.); tingkat; peringkat, posisi suatu angka (misalnya puluhan, ribuan); angka; (desimal) tempat, derajat; cakupan; jumlah"
"いい";"ii";"Bagus; bagus sekali; menyenangkan, cukup; siap, menguntungkan (kesepakatan, penawaran bisnis, dll.); bermanfaat, OK; Baiklah; Bagus; Tidak masalah ; bersenang senang; kegembiraan ; apa yang dikatakan; apa artinya; asal usul sebuah cerita (atau tradisi, dll.) ; Nasi ; mudah; sederhana; polos ; patuh; penurut; jinak ; lekok; berkelok-kelok ; terikat dengan penuh kasih sayang; enggan berpisah ; terang"
"いいん";"iin";"anggota Komite ; kantor dokter; bedah dokter; klinik ; staf medis; dokter"
"言う";"iu ; yuu";"untuk mengatakan; untuk mengucapkan; untuk menyatakan, untuk menyebutkan; untuk menelepon, untuk pergi (misalnya "alarm berbunyi ping"); untuk membuat suara"
"いえ";"ie";"rumah; tempat tinggal, keluarga; rumah tangga, keturunan; nama keluarga ; TIDAK, baiklah; eh; kenapa, sama-sama; sama sekali tidak; jangan sebutkan itu"
"意外";"igai";"tidak terduga; mengejutkan"
"息";"iki ; oki ; soku ; musuko";"napas; pernapasan, nada; suasana hati ; anak, bunga (pinjaman, deposito, dll.) ; anak, penis"
"行き";"iki ; yuki";"jalan ke sana; kaki keluar; perjalanan keluar; berangkat, menuju..., tiket keluar"
"いきおい";"ikioi";"memaksa; semangat; energi; roh; kehidupan, pengaruh; otoritas; kekuatan; mungkin, dorongan; momentum; jalannya (peristiwa), secara alami; perlu"
"生き物";"ikimono";"benda hidup; makhluk hidup; satwa; kehidupan"
"幾つ";"ikutsu";"berapa, berapa umur"
"幾ら";"ikura";"berapa banyak, sesuatu berakhir; dan sesuatu; -ganjil, namun (banyak); bagaimanapun caranya"
"いけない";"ikenai";"salah; tidak baik; tidak ada gunanya, putus asa; harapan masa lalu, tidak boleh dilakukan"
"医師";"ishi ; kusushi";"dokter"
"いし";"ishi";"akan; kemauan; maksud; tekad ; maksud; mengharapkan; tujuan; pikiran (untuk melakukan) ; keinginan orang yang sudah meninggal; keinginan sekarat ; dokter ; batu, permata; batu mulia, batu api (dalam korek api), batu (dalam perjalanan), batu (di kandung kemih, ginjal, dll.); kalkulus, batu (dalam batu-gunting-kertas); batu ; yatim piatu ; reruntuhan (bersejarah). ; kursi persegi tradisional dengan sandaran tangan dan punggung berbentuk torii (digunakan oleh kaisar, dll. selama upacara) ; bunuh diri dengan cara digantung; gantung diri ; memerintah seseorang; memiliki seseorang di bawah kendalinya"
"意思";"ishi";"maksud; mengharapkan; tujuan; pikiran (untuk melakukan)"
"意識";"ishiki";"kesadaran, menjadi sadar (akan); kesadaran; sense, mano-vijnana (kesadaran mental, yang mengetahui informasi indrawi)"
"いじ";"iji";"sikap keras kepala; ketegaran; tekad; kebanggaan, watak; sifat, nafsu makan; menginginkan; ketamakan ; pemeliharaan; kelestarian; peningkatan ; yatim piatu; anak yang ditinggalkan oleh almarhum, anak terlantar ; tulisan gambar ; karakter yang berbeda; karakter lain, karakter varian; bentuk tulisan yang berbeda dari suatu karakter ; urutan pangkat; urutan tempat duduk ; kenangan; memori ; praktek medis"
"いじょう";"ijou";"tidak kurang dari;... dan berakhir;... dan di atas;... dan ke atas;... atau lebih, melebihi (misalnya ekspektasi seseorang); di atas; lebih dari; lebih jauh dari, yang disebutkan di atas; tersebut di atas; sebelumnya, sejak...; melihat itu...; sekarang...; sekali..., itu saja; itulah akhirnya ; keanehan; kelainan; kekacauan ; sesuatu yang salah; kecelakaan; mengubah; kelainan; penyimpangan ; transfer; penugasan ; sekitarnya; lampiran ; mentransfer (ke kapal lain, dll.)"
"いす";"isu";"kursi; bangku, tiang; kantor; posisi"
"いずみ";"izumi";"musim semi; air mancur ; Izumi (bekas provinsi yang terletak di barat daya Prefektur Osaka saat ini)"
"いずれ";"izure";"Di mana; yang; siapa, lagipula; bagaimanapun; bagaimanapun juga, cepat atau lambat; pada akhirnya; suatu hari nanti; di suatu tanggal atau waktu di masa depan, keduanya; salah satu; setiap; semua; manapun ; yang mana, bagaimana, siapa"
"以前";"izen";"yang lalu; sejak; sebelum; sebelumnya"
"いた";"ita";"papan, lembaran (dari logam); piring (dari kaca); panel; lempengan, talenan, koki (khususnya masakan Jepang kelas atas); juru masak, panggung (yaitu di teater) ; Aduh; itu menyakitkan"
"いたずら";"itazura";"Tukang onar; lelucon; menipu; lelucon praktis, waktu luang; hobi, bermain (pemantik api, dll.); bermain-main dengan; menghibur diri dengan; merusak, perilaku tidak senonoh; pelanggaran seksual; kekerasan seksual; penganiayaan; memperkosa ; tidak berguna; sia-sia; tanpa tujuan; menganggur"
"いただきます";"itadakimasu";"terima kasih (untuk makanan yang baru saja disajikan); Saya menerima (makanan ini)"
"頂く";"itadaku";"menerima; mendapatkan; untuk mengambil; untuk membeli, makan; untuk minum, untuk dimahkotai; untuk dipakai (di kepala seseorang); memiliki (di atas), memiliki (sebagai pemimpin); untuk hidup di bawah (seorang penguasa); untuk melantik (seorang presiden), untuk membuat seseorang melakukan sesuatu"
"痛み";"itami";"nyeri; sakit; rasa sakit; duka; kesusahan, kerusakan; cedera; memakai; memar; merusak"
"いたる";"itaru";"untuk sampai pada (misalnya keputusan); untuk mencapai (suatu tahap); untuk mencapai, menuju ke (suatu tempat); untuk mencapai, dalam kasus ekstrim, yang akan datang; untuk tiba; untuk menghasilkan ; sesat, bandel, pemberontak"
"偉大";"idai";"Besar; agung; luar biasa; kuat"
"いち";"ichi";"satu; 1, terbaik, pertama; terutama, awal; mulai, a (tunggal); satu (dari banyak), as (kartu remi), senar terbawah (pada shamisen, dll.) ; pasar; adil ; tempat; situasi; posisi; lokasi ; sangat; bagus sekali"
"位置";"ichi";"tempat; situasi; posisi; lokasi"
"一言";"ichigen ; ichigon ; hitokoto";"kata tunggal; beberapa kata; komentar singkat"
"一度に";"ichidoni";"semua sekaligus"
"市場";"ichiba ; shijou";"pasar (kota); (pasar jalanan; pasar ; pasar (keuangan, saham, domestik, dll); pasar; pasar pertukaran, (jalanan)."
"一番";"ichiban ; hitotsugai";"nomor satu; Pertama; tempat pertama, terbaik; sebagian besar, permainan; bulat; pertarungan, sebagai ujian; sebagai percobaan; melalui percobaan; melalui persidangan; tentatif, lagu (misalnya di noh); bagian ; pasangan; penjepit"
"一家";"ikka ; ikke";"sebuah keluarga; sebuah rumah tangga; sebuah rumah; keluarga seseorang; gaya seluruh keluarga, (milik sendiri); sekolah, geng; keluarga (yakuza)."
"一種";"isshu";"sejenis; semacam; varietas; suatu spesies, semacamnya; sesuatu dari; semacam, semacam; agak"
"いっしゅん";"isshun";"instan; momen; untuk sesaat"
"一生";"isshou";"seumur hidup; sepanjang hidup; satu keberadaan; sebuah generasi; suatu usia; seluruh dunia; era, (satu-satunya, yang terhebat, dsb.) dalam hidup seseorang"
"いっそう";"issou";"lebih banyak; masih lebih; terlebih lagi; lebih dari sebelumnya, satu lapisan (atau bertingkat, dll.), lebih tepatnya; lebih cepat; lebih disukai ; menyapu bersih; pembersihan; menyingkirkan; pemberantasan ; satu perahu; satu kapal ; berpasangan (khususnya layar lipat) ; sersan utama (JGSDF) ; melarikan diri; gerakan cepat; berlari menjauh"
"一体";"ittai";"(apa apaan; (mengapa) di dunia; (siapa) di bumi, satu benda; satu tubuh; kesatuan, satu bentuk; satu gaya, satu gambar Buddha (atau ukiran, dll.), secara umum"
"いっち";"icchi";"kebetulan; perjanjian; Persatuan; kecocokan, kesesuaian; konsistensi, kerjasama ; paling; terbaik"
"一時";"ittoki ; hitotoki ; ichiji";"waktu (singkat); sementara waktu; momen, satu kali (di masa lalu); suatu periode; masa lalu, periode dua jam ; jam satu, sekali; pada satu waktu; dahulu; sebelum, untuk sementara waktu; untuk sementara; untuk saat ini; sementara, suatu saat; satu kali; sekali"
"いっぱん";"ippan";"umum; universal, biasa; rata-rata; umum; non-selebriti, sama; tidak berbeda; (hanya) seolah-olah ; setengah; bagian ; titik (sekilas, garis besar); pengamatan ; sebuah edisi ; semangkuk nasi; makanan ; satu kelompok; satu regu, grup satu; regu satu, seluruh grup; seluruh pasukan"
"一方";"ippou ; hitokata";"satu (khususnya dua); yang lain; SATU ARAH; Jalan lain; arah lain; satu sisi; sisi lain; satu pesta; pihak lain, di satu sisi; di sisi lain, sedangkan; meskipun; tapi diwaktu yang sama; Sementara itu; pada gilirannya, terus saja; cenderung...; cenderung...; cenderung melakukan...; terus menerus...; terus saja...ing; hanya ; satu orang, biasa; umum"
"いつか";"itsuka";"tanggal 5 setiap bulan, 5 hari ; beberapa waktu; suatu hari nanti; Satu hari; suatu waktu atau lainnya; hari yang lain; pada waktunya"
"いつでも";"itsudemo";"kapan saja; selalu; kapan pun"
"いつまでも";"itsumademo";"selamanya; untuk selamanya; selalu; selama ada yang suka; tanpa batas waktu; apa pun yang terjadi"
"いつも";"itsumo";"selalu; sepanjang waktu; setiap saat, tidak pernah, seperti biasanya; reguler; biasa"
"いとこ";"itoko";"sepupu laki-laki ; sepupu perempuan ; sepupu (pria yang lebih tua) ; sepupu (perempuan yang lebih tua) ; sepupu (laki-laki yang lebih muda) ; sepupu (perempuan yang lebih muda)"
"いどう";"idou";"perubahan (personil); transfer; perombakan ; pergerakan; transfer; migrasi; pemindahan; perjalanan, ponsel; bergerak; bepergian; keliling ; perbedaan ; seni kedokteran"
"いね";"ine";"tanaman padi (Oryza sativa) ; biji-bijian masih menempel di tangkai; tanaman padi"
"居眠り";"inemuri";"tertidur (sambil duduk); tertidur"
"命";"inochi ; mei ; mikoto";"kehidupan; kekuatan hidup, seumur hidup; umur, hal yang paling penting; dasar; inti, tato berpasangan kanji "kehidupan" di lengan atas pria dan wanita (menunjukkan cinta yang tak tergoyahkan), takdir; karma ; memesan; memerintah; keputusan, hidup, takdir ; Yang mulia, Anda ; kata-kata yang diucapkan kaisar atau bangsawan"
"違反";"ihan ; ihen";"pelanggaran; melanggar ; pelanggaran (kontrak, janji, dll.)"
"いふく";"ifuku";"pakaian ; bernapas ; kekaguman dalam penyerahan ; perasaan kagum ; anak dari ibu yang berbeda"
"居間";"ima";"ruang tamu (gaya Barat); ruang duduk"
"今に";"imani";"tak lama kemudian; sekarangpun"
"今にも";"imanimo";"kapan saja (sekarang); kapan saja; di ambang (melakukan); baru saja akan"
"以来";"irai";"sejak; untuk selanjutnya"
"いらい";"irai";"sejak; untuk selanjutnya ; meminta; Komisi; mempercayakan (dengan masalah), ketergantungan; kepercayaan"
"いらいら";"iraira";"merasa kesal; berada di tepi; resah; kehilangan kesabaran"
"いらっしゃい";"irasshai";"datang; pergi; menginap, selamat datang"
"いりょう";"iryou";"pakaian ; perawatan medis ; sandang pangan"
"居る";"iru ; oru";"menjadi (dari benda bernyawa); untuk ada, untuk tinggal, untuk menjadi...-ing; telah...-ing ; menjadi (bernyawa); untuk ada, menjadi..ing, untuk (memiliki keberanian untuk) melakukan"
"いわ";"iwa";"batu; batu besar, karang; tebing, jangkar ; berat (dari jaring ikan) ; kelainan fisik ; Italia-Jepang (misalnya kamus)"
"いわい";"iwai";"selamat; perayaan; festival, hadiah ucapan selamat; hadiah"
"いわう";"iwau";"merayakan; untuk memberi selamat; untuk mengamati (sebuah festival), untuk mempersembahkan (hadiah) dalam perayaan; minum dalam perayaan, mengharapkan (masa depan yang bahagia, nasib baik, dll.); untuk berdoa ; rayakan, ucapkan selamat"
"言わば";"iwaba";"boleh dikatakan; begitulah sebutannya; seolah-olah"
"いわゆる";"iwayuru";"apa yang disebut; demikian sebutannya; disebut; boleh dikatakan"
"いんさつ";"insatsu";"pencetakan"
"いんしょう";"inshou";"kesan ; stempel; segel ; referensi; kutipan"
"引退";"intai";"masa pensiun"
"引用";"in'you";"kutipan; referensi"
"上";"ue ; kami ; jou ; uwa";"di atas; ke atas; lebih; lebih tua (misalnya anak perempuan), atas; puncak; kepala (misalnya tangga), permukaan, sebelum; sebelumnya, superioritas; atasan seseorang; yang lebih tua, di atas semua itu; di samping itu; apalagi; tidak hanya... tetapi, setelah (pemeriksaan lebih lanjut, dll.); berdasarkan (dan terjadi setelah), hal-hal mengenai...; sebagai keprihatinan..., sejak (yaitu "untuk alasan itu"), terhormat, tempat atasan seseorang (misalnya takhta), kaisar; berdaulat; shogun; daimyo, wanita bangsawan (khususnya istri bangsawan) ; hulu (sungai); aliran atas, atas; bagian atas; bagian atas (tubuh), lama, awal; orang pertama, orang berpangkat tinggi (misalnya kaisar), pemerintahan; istana kekaisaran, ibukota kekaisaran (yaitu Kyoto); wilayah ibu kota (yaitu Kansai); wilayah (atau arah) istana kekaisaran, kepala (meja), istri; nyonya (dari sebuah restoran) ; dari sudut pandang; sebagai suatu hal (misalnya fakta); dalam bidang; berjenis, di atas kapal (kapal atau kendaraan); diatas dari; di atas, volume pertama (misalnya buku), kualitas unggul; terbaik; atas; kelas atas, naik, pemerintahan; imperial, menyajikan; menunjukkan, ana- ; atas; ke atas; luar; permukaan"
"うかがう";"ukagau";"untuk bertanya; untuk menanyakan; mendengar; untuk disuruh, memohon (dewa untuk ramalan); untuk mencari arahan (dari atasan Anda), mengunjungi, untuk berbicara (kerumunan besar di teater, dll.) ; untuk mengintip (melalui); mengintip; untuk memeriksa (khususnya secara diam-diam), menunggu (kesempatan seseorang), menebak; untuk menyimpulkan; berkumpul; untuk menduga ; memata-matai, mengintai; detektif"
"うがい";"ugai";"berkumur; membilas mulut seseorang ; ranah keberadaan ; memancing burung kormoran, nelayan burung kormoran"
"受け取る";"uketoru";"menerima; mendapatkan; untuk menerima, mengambil; untuk menafsirkan; untuk mengerti"
"動かす";"ugokasu";"untuk bergerak; untuk bergeser; aduk; untuk mengalah; untuk mengubah posisi, untuk menginspirasi; untuk membangunkan; untuk bergerak (misalnya perasaan); untuk mempengaruhi, untuk berubah; untuk mengubah; untuk menolak, untuk beroperasi; untuk menggerakkan; untuk memulai, untuk memobilisasi (misalnya pasukan); untuk memobilisasi; untuk menyebarkan, untuk mengelola (misalnya dana)"
"うさぎ";"usagi";"kelinci; lagomorph (khususnya leporid)"
"牛";"ushi ; gyuu";"sapi (Bos taurus); sapi; banteng; betis, daging sapi, Rasi bintang "Sapi" Cina (salah satu dari 28 rumah mewah)"
"失う";"ushinau";"kehilangan, kehilangan (perubahan, peluang), kehilangan (orang yang dicintai); kehilangan, kebobolan (gol, poin, dll.)"
"うそ";"uso";"berbohong; bikinan; dusta; ketidakbenaran, kesalahan, langkah tidak bijaksana; keputusan yang buruk, tidak mungkin!; sulit dipercaya!; Sungguh?! ; Bullfinch Eurasia (Pyrrhula pyrrhula); burung bullfinch Jepang ; berang-berang (Lutra lutra), Berang-berang sungai Jepang (Lutra lutra whiteleyi)"
"疑う";"utagau";"meragukan; untuk tidak percaya; untuk curiga; untuk mencurigai"
"うちゅう";"uchuu";"semesta; kosmos; ruang angkasa ; di saat hujan ; mandi (panah)."
