"会う";"au";"bertemu; untuk menghadapi; untuk melihat, mengalami kecelakaan; untuk mendapatkan pengalaman buruk"
"あさごはん";"asagohan";"sarapan"
"あさって";"asatte";"lusa, salah (misalnya arah)"
"足";"ashi ; soku";"kaki; mengais; lengan (gurita, cumi-cumi, dll.), kaki, gaya berjalan, kecepatan, komponen struktural bawah (yaitu radikal) dari sebuah kanji, alat transportasi, uang; koin ; counter untuk pasang kaus kaki, sepatu, dll."
"あした";"ashita";"pagi, sarapan, keesokan harinya ; besok, dalam waktu dekat ; fajar; Pagi; hari"
"あそこ";"asoko";"di sana; tempat itu; kamu-tahu-di mana, alat kelamin; bagian privat; wilayah bawah, sejauh itu; yang banyak; titik itu"
"あそぶ";"asobu";"untuk bermain (permainan, olahraga); untuk menikmati diri sendiri; bersenang-senang, bermain-main (dengan alkohol, perjudian, perselingkuhan, dll.), bermalas-malasan; tidak melakukan apa pun; tidak digunakan, untuk bertemu (dengan teman); jalan-jalan, menyerahkan diri (untuk berjudi, minum-minum, dll.), pergi ke (untuk bersenang-senang atau belajar), menggoda (seseorang); untuk bermain (dengan), dengan sengaja melempar bola untuk menurunkan konsentrasi pemukul"
"あたたかい";"atatakai";"hangat; lembut; (menyenangkan) panas, penuh perhatian; baik; ramah, hangat (berwarna); lembut, punya cukup uang"
"あたま";"atama";"kepala, rambut (di kepala), pikiran; otak; kecerdasan, pemimpin; ketua; bos; kapten, atas; tip, awal; mulai, kepala; orang, uang muka; deposit, komponen struktur atas dari pasangan kanji ; kepala, tengkorak"
"新しい";"atarashii";"baru; novel; segar; terkini; terbaru; modern"
"あちら";"achira";"seperti itu; arah itu; di sana, itu (satu), orang itu, di sana; negara asing (khususnya negara Barat)"
"あっち";"acchi";"seperti itu; arah itu; di sana, itu (satu), orang itu, di sana; negara asing (khususnya negara Barat)"
"あつい";"atsui";"tebal; dalam; berat, jenis; ramah; hangat; setia, serius (karena suatu penyakit), berlimpah ; panas; hangat; gerah, bergairah; penuh semangat; membara (keinginan, dll.), di pikiran semua orang; di radar; hari ini; tertarik (tatapan, dll.) ; panas (saat disentuh), bergairah (perasaan, dll.); bersemangat; panas (misalnya tatapan mata), panas (misalnya amarah), bersemangat; antusias, intens; berat; ekstrim, panas (topik); bunga ; gerah, panas, musim panas"
"後";"ato ; nochi ; go ; ushiro ; shiri";"di belakang; belakang, setelah; nanti, sisa; sisanya, lebih banyak (misalnya lima menit lagi); kiri, juga; selain itu, keturunan; penerus; pewaris, setelah kematian seseorang, masa lalu; sebelumnya ; Nanti; setelahnya, masa depan, setelah kematian seseorang, keturunan ; kembali; di belakang; belakang ; pantat; di belakang; dasar; pinggul, permukaan bawah; terbawah, tempat terakhir; akhir, konsekuensi"
"あなた";"anata";"kamu sayang; Sayang ; di luar; lintas; sisi lain; jarak"
"あに";"ani";"kakak ; tidak pernah; dengan tidak bermaksud; sama sekali tidak, mengapa; untuk apa ; kakak; keturunan ; kakak laki-laki ; kakak ipar (kakak laki-laki dari pasangan atau suami dari kakak perempuan), kakak tiri"
"あね";"ane";"kakak perempuan ; kakak ipar (kakak perempuan dari pasangan atau istri dari kakak laki-laki), kakak tiri; kakak perempuan angkat; kakak perempuan yang tidak memiliki hubungan darah"
"あの";"ano";"itu ; mengatakan; Sehat; um; eh"
"あびる";"abiru";"untuk menabrak diri sendiri (misalnya air); untuk mengambil (misalnya mandi); untuk berjemur (misalnya matahari); untuk mandi; dibanjiri (misalnya cahaya); untuk dilindungi, untuk menderita (misalnya serangan); untuk menarik (misalnya kritik, perhatian, pujian); untuk ditimbun; untuk dihujani"
"あぶない";"abunai";"berbahaya; berisiko; genting, dalam bahaya; kritis; kuburan; berisiko, tidak pasti; tidak bisa diandalkan; merasa tidak aman; goyah; ragu-ragu, tutup (panggilan); sempit (melarikan diri), hati-hati!"
"あまい";"amai";"rasanya manis; manis; bergula, harum (berbau); manis (musik), asin ringan; sedikit garam; tidak pedas, naif; terlalu optimis; lembut; dermawan; sabar; mudah bergaul; toleran, setengah hati; tidak diselesaikan dengan benar, tidak mencukupi; tidak memuaskan; tidak memadai; longgar, ringan, menggoda; menarik; memikat"
"あまり";"amari";"sisa; istirahat; keseimbangan; kelebihan; sisa (makanan), (tidak) sangat; (tidak) banyak, terlalu banyak; berlebihan; terlalu, ekstrim; Besar; berat; luar biasa besar; mengerikan, lebih dari; lebih ; iri, kagumi; memuji; mendambakan ; meluap ; kemenangan, surplus"
"あめ";"ame";"permen keras; toffee, gula beras; gula yang terbuat dari pati beras, kentang, dll., amber; coklat kekuningan ; hujan, hari hujan; cuaca hujan, setelan November (dalam hanafuda) ; langit ; tinggi dan luas; tinggi; melengkung"
"雨";"ame";"hujan, hari hujan; cuaca hujan, setelan November (dalam hanafuda)"
"あらう";"arau";"untuk mencuci; untuk membersihkan; untuk membilas, untuk menanyakan; untuk menyelidiki, untuk menyucikan (hati seseorang), untuk mencuci (misalnya pantai); untuk mencuci (misalnya dek); menyapu"
"ある";"aru";"menjadi; untuk eksis; untuk hidup, untuk memiliki, untuk ditempatkan, untuk dilengkapi dengan, untuk terjadi; akan terjadi ; tertentu...; beberapa..."
"あるく";"aruku";"berjalan ; langkah; berjalan, berjalan-jalan"
"あれ";"are";"badai; bab (kulit) ; SAYA; aku, diri sendiri, kamu, awalan yang menunjukkan keakraban atau penghinaan ; itu; benda itu, orang itu, lalu; waktu itu, tempat itu (di sana), di bawah sana (yaitu alat kelamin seseorang), titik; haid ; Hah?; ya?; Apa?; Oh; Hai!; Lihat!; dengarkan!, tolong!"
"いい";"ii";"Bagus; bagus sekali; menyenangkan, cukup; siap, menguntungkan (kesepakatan, penawaran bisnis, dll.); bermanfaat, OK; Baiklah; Bagus; Tidak masalah ; bersenang senang; kegembiraan ; apa yang dikatakan; apa artinya; asal usul sebuah cerita (atau tradisi, dll.) ; Nasi ; mudah; sederhana; polos ; patuh; penurut; jinak ; lekok; berkelok-kelok ; terikat dengan penuh kasih sayang; enggan berpisah ; terang"
"いいえ";"iie";"TIDAK, baiklah; eh; kenapa, sama-sama; sama sekali tidak; jangan sebutkan itu"
"言う";"iu ; yuu";"untuk mengatakan; untuk mengucapkan; untuk menyatakan, untuk menyebutkan; untuk menelepon, untuk pergi (misalnya "alarm berbunyi ping"); untuk membuat suara"
"いえ";"ie";"rumah; tempat tinggal, keluarga; rumah tangga, keturunan; nama keluarga ; TIDAK, baiklah; eh; kenapa, sama-sama; sama sekali tidak; jangan sebutkan itu"
"いかが";"ikaga";"Bagaimana; dengan cara apa; bagaimana kalau, dipertanyakan"
"行く";"iku ; yuku";"untuk pergi; untuk bergerak (dalam arah atau menuju lokasi tertentu); untuk menuju (menuju); untuk diangkut (menuju); untuk mencapai, untuk melanjutkan; terjadi, untuk melewati; datang dan pergi, berjalan, untuk mati; meninggal, melakukan (dengan cara tertentu), mengalir, melanjutkan, mengalami orgasme; datang; untuk cum, tersandung; untuk menjadi tinggi; mengalami halusinasi akibat obat"
"いくつ";"ikutsu";"berapa, berapa umur"
"いくら";"ikura";"berapa banyak, sesuatu berakhir; dan sesuatu; -ganjil, namun (banyak); bagaimanapun caranya"
"いけ";"ike";"kolam ; awalan yang digunakan untuk memperkuat kata sifat yang menghina"
"いしゃ";"isha";"dokter medis; dokter ; penghiburan ; bergantung pada; bergantung kepada"
"いす";"isu";"kursi; bangku, tiang; kantor; posisi"
"いそがしい";"isogashii";"sibuk, gelisah; keburu"
"いたい";"itai";"mayat; tetap ; menyakitkan; sakit, ngeri; memalukan, melebihi ; tubuh yang berbeda ; pakaian dan obi; gaun pengadilan lengkap ; berubah (penanggung jawab, dll.); bergeser"
"一";"ichi ; hito ; hii ; hitotsu ; icchi ; itsu";"satu; 1, terbaik, pertama; terutama, awal; mulai, a (tunggal); satu (dari banyak), as (kartu remi), senar terbawah (pada shamisen, dll.) ; satu satu ; satu, untuk satu hal, hanya, (tidak) genap, hanya (misalnya "coba saja"), semacam; satu jenis ; paling; terbaik ; satu, sama (pikiran, jalan, dll.)"
"一月";"ichigatsu ; ichigetsu ; hitotsuki";"Januari, bulan pertama kalender lunar ; satu bulan"
"一人";"ichinin ; hitori";"satu orang, sendirian; menyendiri, menjadi lajang; belum menikah, oleh diri sendiri; sendirian, hanya; secara sederhana"
"いちばん";"ichiban";"nomor satu; Pertama; tempat pertama, terbaik; sebagian besar, permainan; bulat; pertarungan, sebagai ujian; sebagai percobaan; melalui percobaan; melalui persidangan; tentatif, lagu (misalnya di noh); bagian"
"いっしょ";"issho";"bersama-sama, pada waktu yang sama, sama; identik ; satu surat; satu buku ; satu tempat; tempat yang sama, satu orang, bersama ; buku yang hilang"
"一日";"ippi ; tsuitachi ; ichinichi ; ichijitsu ; hitohi ; hitoe ; tsukitachi";"Hari pertama setiap bulan, 10 hari pertama bulan lunar ; satu hari, sepanjang hari (panjang); sepanjang hari, hari pertama setiap bulan ; hari pertama setiap bulan, sepuluh hari pertama bulan lunar"
"いつ";"itsu";"Kapan; pada pukul berapa; seberapa cepat, waktu normal; hari-hari biasa ; lima; 5 ; membekukan ; satu, sama (pikiran, jalan, dll.) ; meluap; penuh ; mengapa, bagaimana, kapan ; merasa nyaman; santai"
"五日";"itsuka";"tanggal 5 setiap bulan, 5 hari"
"五つ";"itsutsu";"lima, usia lima tahun, jam delapan (sistem waktu lama)"
"いつも";"itsumo";"selalu; sepanjang waktu; setiap saat, tidak pernah, seperti biasanya; reguler; biasa"
"いぬ";"inu";"anjing (Canis (lupus) familiaris), squealer; tikus; mengadu; pelapor; informan; mata-mata, pecundang; bajingan, palsu; lebih rendah; tidak berguna; boros ; Anjing (tanda kesebelas zodiak Cina), jam Anjing (sekitar jam 8 malam, 7-9 malam, atau 8-10 malam), barat-barat laut, bulan kesembilan dalam kalender lunar ; untuk pulang, untuk pergi; meninggalkan, menghabiskan (waktu), mati, menjadi buruk; menjadi busuk"
"今";"ima ; kon";"Sekarang; saat ini; baru saja; segera, yang lain; lagi ; Sekarang...; ini, hari ini..."
"いみ";"imi";"arti; makna; nalar ; duka; pantangan, tabu, pensucian agama, murni; suci"
"いもうと";"imouto";"adik perempuan ; saudara ipar perempuan (adik perempuan dari pasangan atau istri dari adik laki-laki), adik tiri; adik perempuan angkat; adik perempuan yang tidak memiliki hubungan darah"
"いや";"iya";"kepala rumah (keluarga); tempat lahir; pencipta ; TIDAK, baiklah; eh; kenapa, sama-sama; sama sekali tidak; jangan sebutkan itu ; tidak menyenangkan; menjijikkan; enggan ; semakin, sangat ; Mengapa; Oh tidak!; hentikan!; berhenti! ; luas, penuh; mengisi; menyelesaikan"
"いりぐち";"iriguchi";"pintu masuk; gerbang; mendekati; mulut"
"いる";"iru";"masuk; untuk masuk; mengalir ke; untuk mengatur ; menjadi (dari benda bernyawa); untuk ada, untuk tinggal, untuk menjadi...-ing; telah...-ing ; untuk terbenam di luar cakrawala Barat (yaitu Matahari) ; untuk menenangkan diri ; untuk menuangkan; untuk mengalirkan (air) ke atas; untuk menyiram ; untuk memimpin; untuk menjadi ujung tombak; untuk memerintahkan, untuk membawa; untuk mengambil ; untuk menembak (panah, baut, panah) ; memanggang; untuk mengeringkan; untuk bersulang; untuk mendidih ; dibutuhkan; diinginkan ; untuk membuang; untuk mencetak; untuk koin"
"入る";"iru ; hairu";"masuk; untuk masuk; mengalir ke; untuk mengatur ; memasuki; untuk masuk, untuk membobol, untuk bergabung; untuk mendaftar, menampung; untuk memegang; untuk mengakomodasi, memiliki (penghasilan), untuk dihidupkan; untuk mulai berfungsi; untuk mulai bekerja, untuk mendapatkan; untuk memperoleh; menerima; untuk mencetak gol"
"入れる";"ireru";"untuk memasukkan; untuk membiarkan masuk; untuk menerima; untuk membawa; untuk menginstal (misalnya perangkat lunak); untuk mengatur (permata, dll.); untuk memasukkan tinta (misalnya tato), untuk mengakui; menerima; untuk mempekerjakan; untuk menyewa, menerima; untuk memenuhi; untuk memberikan; untuk mengadopsi (kebijakan, dll.); untuk mengambil (nasihat, dll.); untuk mendengarkan; memperhatikan, memasukkan, membayar (sewa, dll.), memberikan (suara), membuat (teh, kopi, dll.), menghidupkan (saklar, dll.), mengirim ( faks); memanggil"
"いろ";"iro";"warna; semburat; bayangan, kulit; warna kulit, penampilan (di wajah seseorang); ekspresi, penampilan; udara; perasaan, kepribadian; karakter, nada (suara seseorang, dll.); lagu; suara; cincin, cinta; nafsu; sensualitas; hubungan cinta, kekasih, kecantikan; daya tarik kelamin; daya tarik fisik, jenis; variasi ; kekasih (pria)"
"いろいろ";"iroiro";"bermacam-macam; semua jenis; variasi, berbagai warna (warna)"
"上";"ue ; kami ; jou ; uwa";"di atas; ke atas; lebih; lebih tua (misalnya anak perempuan), atas; puncak; kepala (misalnya tangga), permukaan, sebelum; sebelumnya, superioritas; atasan seseorang; yang lebih tua, di atas semua itu; di samping itu; apalagi; tidak hanya... tetapi, setelah (pemeriksaan lebih lanjut, dll.); berdasarkan (dan terjadi setelah), hal-hal mengenai...; sebagai keprihatinan..., sejak (yaitu "untuk alasan itu"), terhormat, tempat atasan seseorang (misalnya takhta), kaisar; berdaulat; shogun; daimyo, wanita bangsawan (khususnya istri bangsawan) ; hulu (sungai); aliran atas, atas; bagian atas; bagian atas (tubuh), lama, awal; orang pertama, orang berpangkat tinggi (misalnya kaisar), pemerintahan; istana kekaisaran, ibukota kekaisaran (yaitu Kyoto); wilayah ibu kota (yaitu Kansai); wilayah (atau arah) istana kekaisaran, kepala (meja), istri; nyonya (dari sebuah restoran) ; dari sudut pandang; sebagai suatu hal (misalnya fakta); dalam bidang; berjenis, di atas kapal (kapal atau kendaraan); diatas dari; di atas, volume pertama (misalnya buku), kualitas unggul; terbaik; atas; kelas atas, naik, pemerintahan; imperial, menyajikan; menunjukkan, ana- ; atas; ke atas; luar; permukaan"
"後ろ";"ushiro";"kembali; di belakang; belakang"
"うすい";"usui";"kurus, pucat; lampu; pingsan, berair; tipis; encer, lemah (rasa, dll); sedikit (kasih sayang, dll.) tidak banyak (kehadiran), sedikit (probabilitas, dll.); kecil, jarang; tidak merata; berserakan ; air hujan, istilah matahari "air hujan" (kira-kira 19 Februari)"
"うた";"uta";"lagu; bernyanyi, puisi klasik Jepang (khususnya tanka), puisi modern ; menyanyi; lagu daerah, balada; isu ; kakak laki-laki"
"うたう";"utau";"menyanyi, menyanyi (pujian seseorang dalam puisi, dll.); untuk membuat puisi; untuk membacakan puisi ; untuk memuji; untuk menyanyikan pujian; untuk merayakan, menyatakan; untuk menetapkan; untuk mengekspresikan; untuk menyatakan; bersikeras"
"生まれる";"umareru";"dilahirkan"
"うみ";"umi";"kelahiran; melahirkan, menciptakan; membawa ke dunia ; laut; perairan ; laut, samudra ; gelap, lautan ; laut, rawa ; nanah, korupsi; membusuk; kejahatan"
"うる";"uru";"agar bisa...; dapatkah..., mendapatkan; untuk memperoleh; untuk pengadaan; untuk mendapatkan; untuk menang; untuk mengamankan; untuk mencapai ; untuk menjual ; butiran tidak ketan (tidak cukup lengket untuk membuat kue beras mochi)"
"うるさい";"urusai";"bising; keras, menjengkelkan; sulit; melelahkan; gigih; mendesak, rewel; pemilih; tertentu; terus-menerus; suka memerintah, diam!"
"うわぎ";"uwagi";"mantel; jubah; jaket; pakaian luar"
"え";"e";"pakan ternak; makanan ternak; makanan hewan, umpan; memancing; daya tarik ; gambar; menggambar; lukisan; sketsa, gambar (TV, film, dll.); gambar; rekaman ; masuk; teluk ; menangani; pegangan, tangkai (dari jamur, daun, dll.) ; gen (salah satu trigram I Ching: gunung, timur laut) ; ya?; Apa?; Oh ya; itu benar, memperkuat pertanyaan, penegasan, dll., hei ; daerah sekitar, pantai (laut), akhiran digunakan sebagai indikator kasar lokasi, arah, waktu, dll. ; kebijaksanaan; pencerahan, prajñā (salah satu dari tiga bagian dari jalan mulia beruas delapan); kebijaksanaan ; egoma (jenis perilla); Perilla frutescens var. buah-buahan ; takdir; takdir (khususnya sebagai kekuatan misterius yang mengikat dua orang), hubungan (misalnya antara dua orang); menjalin kedekatan; tautan; koneksi, ikatan keluarga; afinitas, peluang; kesempatan (untuk bertemu seseorang dan memulai hubungan), pratyaya (kondisi tidak langsung, bukan penyebab langsung), beranda terbuka yang sempit ; pertemuan (khususnya Budha, perayaan, dll.) ; kemuliaan, kehormatan; berkembang, makmur ; -melipat; -lapis"
"えいが";"eiga";"film ; kemakmuran; kejayaan; kemegahan; keagungan; kemewahan ; puisi (khususnya tanka); lagu; komposisi puisi atau lagu, lagu peziarah; himne peziarah, menyanyikan puisi atau lagu dengan suara nyaring"
"えいがかん";"eigakan";"bioskop"
"えいご";"eigo";"Bahasa Inggris ; penjaga; pengawal ; cerdas; lihai"
"ええ";"ee";"Ya; itu betul; benar, um; errr, hah?, grrr; ya; Haruskah saya?, bagus"
"駅";"eki";"Stasiun kereta; stasiun kereta api, pos pementasan di jalan raya (di Jepang pra-modern), konter untuk stasiun kereta api dan terminal bus"
"えんぴつ";"enpitsu";"pensil"
"おいしい";"oishii";"lezat; manis, menarik; nyaman; baik; diinginkan; menguntungkan"
"多い";"ooi";"banyak; banyak sekali, jumlah besar; dalam jumlah besar; banyak, sering; umum"
"大きい";"ookii";"besar; hebat, keras, luas, penting; penentu; berharga, lebih tua; sudah dewasa"
"大きな";"ookina";"besar"
"おおぜい";"oozei";"kerumunan orang; sejumlah besar orang, dalam jumlah besar"
"お母さん";"okaasan";"ibu; Mama; bungkam, istri"
"おかし";"okashi";"permen; kue"
"お金";"okane";"uang"
"おきる";"okiru";"untuk bangun; naik; untuk menyala (api), untuk bangun; terbangun; untuk tetap terjaga, terjadi (biasanya insiden yang tidak menguntungkan); terjadi; untuk terjadi ; untuk dinyalakan (api); untuk dibuat"
"おく";"oku";"bagian dalam; di dalam; pedalaman; kedalaman (misalnya hutan); bagian belakang (rumah, laci, dll.); bagian bawah (misalnya hati); reses ; 10^8; 100.000.000; seratus juta ; untuk menempatkan, meninggalkan (di belakang), untuk mendirikan (organisasi, fasilitas, posisi, dll.); untuk mengatur, menunjuk (seseorang pada posisi tertentu); untuk menyewa; untuk mempekerjakan, untuk menempatkan (kepercayaan seseorang, keyakinan seseorang, dll.); untuk mengingat (dalam pikiran, dll.), meletakkan suatu alat (misalnya pena) sehingga menghentikan apa yang dilakukan seseorang dengan alat tersebut, untuk mengambil (penghuni asrama, dll.); untuk menyediakan penginapan di rumah seseorang, untuk memisahkan secara spasial atau temporal, untuk melakukan sesuatu terlebih dahulu, meninggalkan sesuatu dalam keadaan tertentu; untuk menjaga sesuatu dalam keadaan tertentu ; rumah; bangunan, atap ; ingat, renungkan; Penyimpanan ; berhenti melakukan sesuatu; untuk berhenti; untuk mengesampingkan, untuk meninggalkan apa adanya; untuk pergi sendiri, untuk mengecualikan; untuk kecuali"
"おくさん";"okusan";"istri; istri Anda; istrinya; wanita yang sudah menikah; nyonya"
"おさけ";"osake";"alkohol; demi"
"おさら";"osara";"piring"
"おしえる";"oshieru";"untuk mengajar; untuk menginstruksikan, memberi tahu; untuk menginformasikan, untuk berkhotbah"
"おじいさん";"ojiisan";"kakek, warga negara senior laki-laki"
"おじさん";"ojisan";"paman, orang tua; tuan, ikan kambing manybar (Parupeneus multifasciatus)"
"おす";"osu";"untuk mendorong; untuk menekan, untuk memberikan tekanan dari atas; untuk menekan, untuk mencap (yaitu paspor); untuk membubuhkan segel, untuk membubuhkan (misalnya daun emas), untuk menekan (seseorang untuk sesuatu); untuk mendesak; untuk memaksa; untuk mempengaruhi, membanjiri; untuk mengalahkan; untuk menekan, mendorong (peristiwa bersama); untuk memajukan (rencana), untuk melakukan meskipun...; untuk melakukan meskipun...; untuk memaksa, untuk memastikan, diburu waktu, untuk memajukan pasukan; untuk menyerang, (cahaya) untuk disebarkan ke seluruh permukaan ; untuk merekomendasikan; untuk mendukung (misalnya seorang kandidat); untuk mencalonkan; mendukung; untuk mundur, untuk menyimpulkan (dari); untuk menyimpulkan; berkumpul; untuk menduga; menduga, memikirkan (sesuatu); untuk merenung secara mendalam ; jantan (hewan, tumbuhan) ; untuk makan; untuk minum, memakai (pakaian), untuk memerintah ; menjadi ; Hai!; yo!; Hei bro!; Hei bung!"
"おそい";"osoi";"lambat; memakan waktu; lesu, terlambat (di siang hari); menjelang akhir (siang atau malam); sampai jauh siang atau malam, lebih lambat (dari perkiraan atau biasanya); terlambat dari jadwal; ketinggalan waktu; terlambat; tidak tepat waktu, terlambat; ketinggalan perahu, membosankan; bodoh ; malam; terlambat"
"おちゃ";"ocha";"teh (usu. hijau), rehat minum teh (di tempat kerja), upacara minum teh"
"おてあらい";"otearai";"toilet; kamar kecil; WC; kamar mandi"
"お父さん";"otousan ; otossan";"ayah; muncul; dada, suami, kamu; Dia"
"おとうと";"otouto";"adik laki-laki, saudara ipar (adik dari suami atau adik dari suami), murid; anak magang ; ipar laki-laki (adik laki-laki dari pasangan atau suami dari adik perempuan), adik tiri"
"男";"otoko ; okko ; onoko ; nan ; dan";"pria; laki-laki, sesama; pria; bab; cowok, kekasih pria; pacar; kejantanan, kejantanan; kehormatan jantan; reputasi jantan ; pria; anak laki-laki ; laki-laki, jantan; berani; heroik, lebih besar (dari keduanya); lebih hebat, pria, suami ; putra ; anak, baron, manusia; pria"
"男の子";"otokonoko";"anak laki-laki; putra; bayi laki-laki, pria muda ; pria; anak laki-laki"
"おととい";"ototoi";"kemarin lusa"
"おととし";"ototoshi";"tahun lalu"
"大人";"otona ; dainin ; taijin";"dewasa ; orang yang berbudi luhur; orang hebat; orang yang murah hati, raksasa, dewasa, orang yang diagungkan"
"おなか";"onaka";"perut"
"おなじ";"onaji";"sama; identik; setara; seragam; serupa; umum (asal); tidak berubah, pula; bagaimanapun; dalam kedua kasus tersebut ; tanda yang sama ; tanda iterasi (vertikal) yang digunakan untuk merepresentasikan pengulangan kanji sebelumnya (dibaca menggunakan kun'yomi)"
"おにいさん";"oniisan";"kakak; kakak laki-laki, pemuda; sobat; kawan; cung"
"おねえさん";"oneesan";"kakak perempuan, nona muda, nona, bu, gadis yang lebih tua"
"おばあさん";"obaasan";"nenek, wanita tua; warga negara senior perempuan"
"おばさん";"obasan";"tante ; wanita tua; bu"
"おふろ";"ofuro";"mandi"
"おべんとう";"obentou";"Bento; Kotak makan siang Jepang"
"おぼえる";"oboeru";"menghafal; untuk menghafal; untuk berkomitmen pada memori; untuk belajar dengan hati; untuk diingat; untuk mengingat, untuk belajar; untuk mengambil; untuk memperoleh, merasakan, berpikir; untuk hal ; ingat, renungkan; Penyimpanan"
"おまわりさん";"omawarisan";"polisi"
"おもい";"omoi";"berat; berbobot, berat (perasaan); murung; muram; biru; gelisah, lambat; lamban; membosankan; kikuk, penting (posisi, tanggung jawab, dll); serius, serius (hukuman, penyakit, dll.); berat; kritis, padat; didirikan; bermartabat; masuk akal ; pikiran, imajinasi; pikiran; hati, keinginan; mengharapkan; harapan, cinta; kasih sayang, perasaan; emosi; sentimen; pengalaman"
"おもしろい";"omoshiroi";"menarik; memukau; membuat penasaran; memikat, lucu, menyenangkan; seru; menghibur, bagus; memuaskan; baik; diinginkan; memberi semangat"
"およぐ";"oyogu";"berenang"
"おりる";"oriru";"untuk turun (misalnya gunung); ke bawah; turun, turun (misalnya dari bus); untuk turun, untuk mundur; untuk pensiun; menyerah; berhenti; untuk melipat, untuk diberikan; untuk diterbitkan, dalam bentuk (embun beku, embun, kabut, dll.), untuk dikeluarkan (dari tubuh; misalnya cacing gelang)"
"おわる";"owaru";"untuk mengakhiri; untuk mencapai akhir; untuk menutup; menyelesaikan"
"おんがく";"ongaku";"musik"
