"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"絵";"e";"gambar; menggambar; lukisan; sketsa, gambar (TV, film, dll.); gambar; rekaman"
"易";"eki";"jenis ramalan cleromancy (dijelaskan dalam Kitab Perubahan) yang dilakukan dengan tongkat panjang, Kitab Perubahan; Yijing; aku Ching ; kemudahan"
"越";"etsu";"Yue (kerajaan di Tiongkok kuno; 6 SM-334 SM), Vietnam"
"偉";"era ; i";"luar biasa besar; sangat besar ; kebesaran"
"御";"o ; on ; go ; gyo ; mi ; oon ; oomu";"awalan kehormatan/sopan/rendah hati ; awalan kehormatan/sopan/rendah hati, akhiran kehormatan ; imbuhan kehormatan, awalan kehormatan ; Agustus, cantik ; Agustus (mengacu pada kaisar atau para dewa); imperial; bersifat ketuhanan"
"緒";"o ; sho ; cho ; itoguchi";"tali; mengikat; thong, string (dari alat musik, busur, dll.) ; awal; lahirnya ; awal; langkah pertama, petunjuk; memimpin, akhir benang"
"追";"o.u ; tsui";"mengejar; mengeluarkan"
"置";"o.ku ; -o.ki ; chi";"tempat, tata letak; menyisihkan"
"押";"o.su ; o.shi- ; o.- ; oo.saeru ; osa.eru ; ou";"hipotek, janji; menyetorkan; untuk menggadaikan; untuk menangkap, menahan, menjaga"
"降";"o.riru ; o.rosu ; fu.ru ; fu.ri ; kuda.ru ; kuda.su ; kou ; go";"turun, jatuh; lebih rendah"
"王";"ou ; ookimi ; oogimi";"raja; penggaris; berdaulat, taipan; tokoh terkemuka; juara; master, king (dari pemain senior) ; kaisar; raja; pangeran"
"岡";"oka";"bukit; tinggi; bukit kecil; tempat naik daun, poin bonus diberikan kepada pemenang di akhir permainan"
"遅";"oku.reru ; oku.rasu ; oso.i ; chi";"terlambat; lambat; menunda"
"収";"osa.meru ; osa.maru ; shuu";"berkumpul bersama, mengumpulkan; memanen"
"落";"ochi";"tergelincir; kelalaian, hasil; peleraian; hasil akhir, garis pukulan (lelucon)"
"夫";"otto ; so ; tsuma";"suami ; laki-laki, jantan; berani; heroik, lebih besar (dari keduanya); lebih hebat, pria, suami ; bahwa ia; dia; orang itu ; istri, sayangku; madu, hiasan (khususnya yang disajikan dengan sashimi), hiasan"
"訪";"otozu.reru ; tazu.neru ; to.u ; hou";"mengunjungi; bertanya"
"面";"omote ; tsura ; men ; dura";"masker wajah, permukaan, (khususnya masker noh atau kyogen) ; menghadapi; mug, permukaan, daging pipi, pipi, daerah sekitarnya ; masker; pelindung wajah, (dalam kendo) memukul kepala, permukaan (khususnya permukaan geometris), halaman, aspek; segi; sisi, talang, penghitung untuk objek, tingkat, atau tahapan yang luas dan datar, misalnya. dalam permainan video ; tampak seperti...; bertindak seolah-olah..."
"表";"omote ; hyou";"permukaan, wajah (yaitu sisi yang terlihat dari suatu objek), depan (bangunan, dll.); sisi depan (yaitu "kepala") koin, di luar; eksterior, penampilan, publik, babak pertama (sebuah inning); atas (dari sebuah inning), penutup (untuk tikar tatami, dll.), latar depan, Sekolah upacara minum teh Omotesenke ; meja; bagan; daftar, peringatan untuk seorang kaisar"
"泳";"oyo.gu ; ei";"menyelam; berenang"
"俺";"oraa ; ori ; ore";"SAYA"
"折";"ori";"peluang; kesempatan; waktu, lipat; wiru, kotak makanan kecil (kayu atau karton), lipat... (dua, tiga, dst.), konter untuk barang yang dilipat, konter untuk barang (khususnya makanan) yang dikemas dalam oribako"
"化";"ka";"tindakan membuat sesuatu; -ifikasi"
"過";"ka";"kelebihan-; over-, per- (bahan kimia yang mengandung lebih banyak unsur tertentu dibandingkan senyawa lain dengan unsur yang sama)"
"果";"ka ; hatate ; haka";"phala (keadaan yang dicapai, hasil), pencerahan (sebagai buah dari praktik Buddhis seseorang), buah, penghitung untuk potongan buah ; akhir; membatasi; ekstremitas ; kemajuan"
"科";"ka ; toga ; shina";"departemen; bagian; fakultas; sekolah; lengan, kursus (studi); cabang studi; spesialisasi, (taksonomi) keluarga ; kesalahan, dosa; pelanggaran ; Linden Jepang (Tilia japonica) ; artikel; barang; benda; barang-barang; stok, kualitas, genit; sifat genit"
"加";"ka";"tambahan; meningkat, Kanada"
"解";"kai";"solusi (persamaan, pertidaksamaan, dll.); root (misalnya polinomial), solusi (untuk masalah tertentu); jawaban, penjelasan; penafsiran"
"回";"kai";"penghitung untuk kejadian, suatu waktu; sebuah instance, inning (bisbol); bulat; permainan, episode; bab; cicilan, Hui (rakyat), Islam"
"係";"kakari ; gakari";"mengenakan biaya; tugas; penanggung jawab; resmi; petugas, koneksi; menghubungkan ; mengenakan biaya; tugas; penanggung jawab; resmi; staf"
"格";"kaku ; kyaku";"status; posisi; peringkat, metode; jalan; gaya, aturan; peraturan; hukum, kasus gramatikal, gambar (silogisme) ; amandemen (dari ritsuryō)"
"掛";"kake ; gake ; gakari";"kredit, uang yang terhutang pada rekening; tagihan, mie panas dalam kuah, sebagian (dari harga grosir, sepersepuluh dari harga jual), di tengah, istirahat; rak; gantungan ; -berpakaian, di tengah-tengah, sepersepuluh (misalnya harga grosir, sepersepuluh dari harga eceran), kali (yaitu dikalikan), dapat diduduki (kursi, dll.) ; mengenakan biaya; tugas; penanggung jawab; resmi; staf"
"景";"kage ; kei";"bayangan; bayangan hitam; angka; bentuk, refleksi; gambar, tanda buruk, cahaya (bintang, bulan), jejak; bayangan (dari diri seseorang yang dulu) ; pemandangan; melihat; pemandangan indah, penghitung adegan (dalam drama)"
"構";"kaji ; kamae";"kertas murbei (Broussonetia papyrifera) ; struktur; konstruksi; penampilan, postur (misalnya dalam seni bela diri); pose; pendirian, kesiapan; tekad, penutup kanji tipe radikal (harus mengapit setidaknya dua sisi kanji)"
"数";"kazu ; suu ; shibashiba";"nomor; jumlah ; beberapa; sejumlah, kuantitas; jumlah, menghitung; angka, nomor; angka; gambar, angka tata bahasa, takdir; jalannya acara; kecenderungan ; sering; lagi dan lagi; berkali-kali"
"形";"katachi ; gata ; nari ; kei";"membentuk; sosok, wajah ; membentuk; penampilan, jaminan, bagian depan koin "zeni" lama ; gaya; jalan; membentuk; penampilan; negara ; membentuk; tegang, kata sifat; kata sifat-i (dalam bahasa Jepang)"
"容";"katachi ; kanbase ; you";"membentuk; sosok, wajah ; wajah, wajah; kehormatan (kehormatan); harga diri"
"活";"katsu";"hidup; kehidupan, seni resusitasi judo, aksi; aktivitas"
"要";"kaname ; you";"poros, titik vital; landasan; batu kunci, photinia Jepang ; landasan; Titik utama; persyaratan batu kunci, ; perlu, perlu; diperlukan"
"神";"kami ; shin ; jin ; kamu ; kan";"Tuhan; dewa; keilahian; roh; kami, luar biasa; fantastis, Kaisar (Jepang), guntur ; roh; jiwa, dewa; keilahian; kami ; jiwa; roh; roh ilahi ; bersifat ketuhanan; saleh"
"髪";"kami ; hatsu";"rambut (di kepala) ; rambut (di kepala); rambut; kunci"
"彼";"kare ; kano";"Dia, pacar ; itu; benda itu, orang itu, lalu; waktu itu, tempat itu (di sana), di bawah sana (yaitu alat kelamin seseorang), titik; haid ; itu terkenal..."
"寒";"kan ; samu ; sabu";"pertengahan musim dingin; musim dingin; hari terdingin dalam setahun"
"感";"kan";"merasa; sensasi; emosi; kekaguman; kesan, kata seru"
"官";"kan ; tsukasa";"pelayanan pemerintah; birokrasi ; kantor; pejabat, kepala, (Kepulauan Yaeyama di Okinawa) orang (biasanya perempuan) yang bertugas memimpin upacara keagamaan"
"完";"kan";"Tamat; Selesai, penyelesaian; kesimpulan; akhir, menyediakan sepenuhnya"
"観";"kan";"Lihat; penampilan, tontonan; penglihatan, meditasi observasi, pandangan tentang...; pemandangan dari..."
"害";"gai";"cedera; menyakiti; pengaruh jahat; kerusakan"
"願";"gan ; negai";"doa; mengharapkan; sumpah ; menginginkan; mengharapkan; harapan, permintaan; permintaan yg sangat mendesak; permohonan; himbauan, doa, (tertulis) lamaran"
"顔";"gan ; kao ; kanbase";"menghadapi; wajah, lihat; ekspresi; wajah, kehormatan; menghormati; wajah, pengaruh; kemasyhuran ; wajah, wajah; kehormatan (kehormatan); harga diri"
"機";"ki ; hata";"peluang, mesin, pesawat, penghitung untuk pesawat, penghitung untuk (sisa) nyawa ; mesin tenun"
"危";"ki";"bahaya, Rasi bintang "atap" Cina (salah satu dari 28 rumah besar)"
"記";"ki";"akun; sejarah; kronik; rekam, Kojiki; Catatan Hal-Hal Kuno"
"消";"ki.eru ; ke.su ; shou";"lenyap, mati; mencair"
"君";"kimi ; kun ; gimi ; kinji";"Anda; sobat, raja; penggaris; berdaulat; (seseorang) tuan, dia ; Tuan (junior); menguasai; anak laki-laki ; akhiran ditambahkan ke anggota keluarga orang lain"
"客";"kyaku ; kaku ; maroudo ; marouto ; marebito";"tamu; pengunjung, pelanggan; klien; pembelanja; penonton; hadirin; turis; pelancong; penumpang, konter untuk kontainer yang digunakan untuk menjamu tamu ; pengunjung dari jauh; tamu ; pengunjung dari jauh, roh pembawa kegembiraan dari alam ilahi"
"球";"kyuu ; mari ; tama";"bola, penghitung untuk bola ; bola (untuk olah raga, permainan, dll.), kemari; jenis sepak bola yang dimainkan oleh para bangsawan di Jepang kuno ; bola; bola dunia, manik (dari keringat, embun, dll.); menjatuhkan; tetesan, bola (dalam olahraga), tumpukan (mie, dll.), peluru, bohlam (yaitu bola lampu), lensa (kacamata, dll.), manik-manik (sempoa), bola (yaitu testis), permata; permata (khususnya berbentuk bola; terkadang digunakan secara kiasan); mutiara, penghibur wanita (misalnya geisha), orang (saat mengomentari sifatnya); karakter, barang, dana atau orang yang digunakan sebagai bagian dari plot, telur, koin, berharga; cantik; bagus sekali"
"給";"kyuu";"gaji; pembalasan"
"居";"kyo ; i";"tempat tinggal ; berada (di suatu tempat), duduk"
"経";"kyou ; fu ; kei ; tate ; tateito";"sutra; kitab suci Buddha ; melewati; berlalu; untuk lewat, melewati; untuk melalui, mengalami; untuk melewati ; lungsin (menenun), bujur, kitab suci; sutra, trans- ; vertikal; tinggi, depan ke belakang; panjang, utara-selatan, vertikal (hubungan); hierarki, (menenun) lungsin ; (menenun) melengkung"
"曲";"kyoku ; kuma ; maga ; kuse";"komposisi; karya musik; lagu; trek (dalam rekaman), tune; melodi; udara, kenikmatan; seru; minat; kesenangan ; sudut; istirahat, teduh; bayangan; area gelap, lingkaran hitam (di bawah mata); cincin gelap, bayangan; gradasi, kumadori; gaya riasan kabuki yang digunakan untuk peran kekerasan ; kejahatan; bencana ; segmen panjang dari drama noh yang membentuk highlight musiknya, salah; tidak pantas; tidak senonoh"
"局";"kyoku ; tsubone";"biro; departemen, kantor (misalnya pos, telepon); stasiun penyiaran (misalnya televisi, radio); saluran; pertukaran, urusan; situasi, permainan (go, shogi, dll.) ; nyonya istana; dayang (zaman Heian), ruangan terpisah di istana (khususnya untuk wanita) (zaman Heian), ruangan untuk pelacur kelas sangat rendah, pelacur kelas sangat rendah"
"限";"kiri";"akhir; menyelesaikan; berhenti, batas, tanggal pengiriman (kontrak berjangka), akhir (dari lagu noh); akhir suatu tindakan (dalam jōruri atau kabuki); penampilan terakhir hari ini (di vaudeville), penghitung untuk irisan (khususnya irisan tebal); counter untuk pemotongan (misalnya ikan, daging), saja; baru saja, sejak; setelah, sisa (dalam keadaan tertentu)"
"議";"gi";"diskusi; musyawarah, berpikir; pendapat"
"疑";"gi";"ragu; ketidakpercayaan; kecurigaan (dari)"
"苦";"ku";"nyeri; derita; menderita; kesulitan; kecemasan; khawatir; masalah, duhkha (penderitaan)"
"草";"kusa ; sou";"rumput; gulma; herba; jerami, ninja, tidak asli; di bawah standar, LOL; ha ha ; draf; salinan kasar, gaya yang sangat kursif (penulisan karakter Cina); gaya rumput"
"薬";"kusuri ; yaku";"obat-obatan; obat-obatan (legal); pil; salep, bahan kimia berkhasiat (bubuk mesiu, pestisida, dll), (gerabah) glasir, obat (ilegal); narkotika, suap kecil ; bagus sekali; obat bius; obat"
"靴";"kutsu";"sepatu; sepatu bot; alas kaki"
"婚";"kunagai ; kon ; yobai";"hubungan seksual ; pernikahan ; merayap di malam hari ke kamar tidur wanita; mencuri ke kamar tidur seorang gadis di malam hari untuk bercinta; kunjungan diam-diam"
"配";"kuba.ru ; hai";"cocok, berpasangan; setara; mencampur"
"首";"kubi ; shu ; tsukasa ; obito ; ohito ; outo ; konokami ; kashira ; koube ; shirushi";"leher, kepala, pemecatan; memulangkan; memecat (dari pekerjaan) ; counter untuk lagu dan puisi ; kantor; pejabat, kepala, (Kepulauan Yaeyama di Okinawa) orang (biasanya perempuan) yang bertugas memimpin upacara keagamaan ; Obito (gelar turun temurun, sering diberikan kepada keluarga daerah yang berkuasa) ; putra sulung, kakak laki-laki; kakak perempuan, orang yang lebih tua, kepala klan; kepala daerah, pengrajin terampil ; kepala (boneka) ; memenggal kepala musuh"
"組";"kumi";"kelas (siswa), kelompok (orang); berpesta; tim; kru, banyak; kelompok; set, keluarga kriminal; sindikat kejahatan terorganisir, kumpulan (item); bermacam-macam; setumpuk (kartu); paket, pengaturan huruf; komposisi"
"暮";"kure";"matahari terbenam; terbenamnya matahari; senja, akhir; tutup, akhir tahun"
"具";"gu ; tsuma";"alat; berarti, bahan-bahan (ditambahkan ke sup, nasi, dll.), penghitung untuk set baju besi, perkakas, furnitur, dll. ; istri, sayangku; madu, hiasan (khususnya yang disajikan dengan sashimi), hiasan"
"決";"ketsu";"keputusan; Pilih"
"煙";"kemuri ; keburi";"merokok; uap"
"件";"ken ; kudari ; kudan";"urusan; perselingkuhan; kasus; barang; subjek, penghitung untuk email (yang diterima), pesan teks, pesan suara, dll., penghitung untuk akun (di situs web, layanan email, dll.) ; jalan; gugus kalimat ; hal tersebut di atas; ucapan; (manusia, kejadian, dll.) yang bersangkutan; yang disebutkan di atas, biasa"
"険";"ken ; saga";"kecuraman; tempat curam, keras (lihat); tajam (lidah) ; terjal"
"権";"ken";"benar (melakukan sesuatu), otoritas; kekuatan"
"込";"ko.mu ; ko.mi ; -ko.mi ; ko.meru";"masuk ke dalam"
"更";"kou ; fuke ; sara ; komogomo";"seperlima malam (kira-kira 2 jam) ; terlambat ; baru; tidak terpakai, baru, jelas; alami ; bergantian; secara berturut-turut"
"好";"kou ; yoshibi ; yoshimi";"Bagus ; persahabatan; hubungan persahabatan; koneksi; keintiman"
"交";"kou ; komogomo";"asosiasi; persekutuan, perubahan (musim, tahun, dsb.) ; bergantian; secara berturut-turut"
"声";"koe ; shou";"suara, nyanyian (burung); kicau (dari seekor serangga); teriakan, suara; pendapat (seperti yang diungkapkan dengan kata-kata); melihat; mengharapkan; sikap; akan, berbunyi, merasakan (kedatangan sesuatu); perasaan, suara; suara bersuara ; suara, nada (karakter Cina); tanda nada, tekanan (dalam pengucapan); intonasi; aksen"
"刻";"koku ; kiza ; toki";"periode waktu (biasanya periode sekitar dua jam sesuai dengan salah satu tanda zodiak Cina), ukiran; pemotongan; cincang, kemenangan, ketatnya; kekejaman ; menggores ; waktu; jam; momen, kesempatan; kasus, peluang; musim, waktu; usia; hari, tegang"
"辞";"kotoba ; ji";"bahasa; dialek, kata; frasa; ekspresi; istilah, ucapan; (cara) berbicara; (penggunaan) bahasa, kata-kata; komentar; penyataan, belajar berbicara; penguasaan bahasa ; alamat (misalnya pidato pembuka atau penutup); pidato; kata, ci (bentuk sastra Cina), kata tambahan"
"困";"koma.ru ; kon";"untuk mengelilingi, mengepung; untuk dikelilingi; sulit"
"米";"kome ; meme ; bei ; meetoru ; yone";"(butir sekam) beras, pokok (produk, dll.); kebutuhan ; Amerika Serikat; Amerika Serikat ; meter, meter; mengukur ; 88 tahun, beras"
"殺";"koro.su ; -goro.shi ; so.gu ; satsu ; sai ; setsu";"membunuh, membantai; terluka; untuk mengupas, mengurangi, memotong"
"怖";"kowa";"menakutkan"
"恐";"kowa ; kashiko ; kashiku";"menakutkan ; dengan hormat; dengan hormat milikmu"
"誤";"go";"kesalahan"
"期";"go ; ki";"waktu; momen; batas, waktu kematian; momen terakhir, tengah malam di distrik lampu merah pada zaman Edo ; periode; waktu, kesempatan; peluang; peristiwa, umur, masa jabatan (misalnya di kantor), sesi (misalnya di parlemen), tahapan (misalnya suatu penyakit), musim (misalnya dalam serial TV)"
"合";"gou ; ai";"pergi; satuan volume tradisional, kira-kira. 0,1804 liter, pergi; satuan luas tradisional, kira-kira 0,33 meter persegi, sepersepuluh jarak dari dasar ke puncak gunung, konjungsi, jumlah; total, sintesis (dalam dialektika), premis minor (dalam hetuvidya), penghitung untuk wadah tertutup, penghitung untuk pertandingan, pertempuran, dll. ; pemakaian antar musim; pakaian musim semi dan musim gugur, bersama, kondisi; situasi; negara, -ish"
"号";"gou";"nomor; edisi; membuat; model; masalah; bagian dari grup itu, judul; nama pena, ukuran (dari jenis cetakan, kanvas, jarum rajut, dll.), akhiran yang ditempelkan pada nama kapal, kereta api, pesawat terbang, dll."
"然";"sa ; shika ; zen";"Jadi; seperti itu; dengan cara itu ; seperti itu, ya; uh huh ; -menyukai"
"差";"sa ; sashi";"perbedaan; variasi, perbedaan ; antara (misalnya dua orang); tatap muka, hambatan, bagian resitatif aritmia dalam musik noh, bermain hanya dengan 2 pemain, awalan digunakan untuk tekanan atau penekanan, penghitung untuk lagu tari tradisional"
"最";"sai";"yang paling; yang ekstrim, prima; menyolok"
"歳";"sai ; tose ; toshi";"-tahun ; penghitung selama bertahun-tahun (mengikuti angka dalam sistem penghitungan hito-futa-mi) ; tahun, usia; tahun, melewati masa puncaknya; usia tua"
"才";"sai";"kemampuan; hadiah; bakat; jenius, sai; satuan volume tradisional, kira-kira. 1,8ml ; -tahun"
"際";"sai ; kiwa ; giwa";"pada kesempatan; keadaan; titik waktu ; tepian; jurang; ambang; sisi, waktu; momen"
"倒";"sakashima ; sakasama";"balik; inversi; terbalik, tidak masuk akal; absurd; salah ; terbalik; balik ; terbalik; kembali ke depan; salah arah"
"杯";"sakazuki ; sakaduki ; hai ; tsuki ; hata";"cangkir sake; cangkir untuk minuman beralkohol ; cangkir sake; cangkir untuk minuman beralkohol, konter untuk cangkir penuh, semangkuk penuh, sesendok, dll., konter untuk perahu, konter untuk gurita dan cumi, cangkir (dalam olahraga); kejuaraan ; mangkuk dangkal ; counter untuk cupfuls, bowlfuls, sesendok, dll."
"昨";"saku";"terakhir (tahun); Kemarin"
"探";"sagu.ru ; saga.su ; tan";"temukan; mencari, meraba-raba"
"酒";"sake ; sasa ; ki ; kushi ; shu";"alkohol; demi"
"定";"sada ; jou";"tentu; sungguh-sungguh ; kepastian; realitas; aktualitas, reguler; permanen, samadhi (keadaan konsentrasi intens yang dicapai melalui meditasi)"
"幸";"sachi ; kou ; saki";"semoga beruntung; harta benda; kebahagiaan, panen; menghasilkan"
"察";"satsu";"polisi"
"覚";"satori";"satori; monster cerita rakyat yang bisa membaca pikiran"
"様";"sama ; you ; chama ; tameshi ; zama";"Tn.; Nyonya.; Merindukan; Nona, membuat sebuah kata menjadi lebih sopan (biasanya dalam ekspresi tetap), menyatakan; situasi; penampilan; tata krama ; muncul...; mencari..., cara ke...; metode...ing, bentuk; gaya; desain, seperti; mirip dengan, benda (dipikirkan atau diucapkan) ; Tn.; Nyonya.; MS. ; preseden; contoh ; kekacauan; keadaan maaf; penderitaan; pemandangan yang menyedihkan, -cara; -bangsal, dalam tindakan...; sama seperti seseorang adalah..., cara...; jalan dari..."
"申";"saru";"Monyet (tanda kesembilan zodiak Tiongkok), jam Monyet (sekitar pukul 16.00, 15.00-17.00, atau 16.00-18.00), barat-barat daya, bulan ke-7 kalender lunar"
"賛";"san";"memuji; upeti, prasasti (pada lukisan)"
"参";"san ; mi ; shin";"tiga; 3 ; Konstelasi "Bintang Tiga" Tiongkok (salah satu dari 28 rumah besar)"
"座";"za";"kursi; tempat, posisi; status, berkumpul; berpesta; perusahaan; suasana (pertemuan), berdiri; alas; platform, (sejarah) serikat dagang, ditempelkan pada nama konstelasi, ditempelkan pada nama teater, bioskop, dan grup teater, penghitung untuk teater, dewa, gambar Buddha, gunung tinggi, dan lagu satokagura"
"在";"zai";"negara; pedesaan, pinggiran; pinggiran kota, kehadiran; hadir, bertempat di; tinggal di"
"財";"zai ; takara";"harta benda; kekayaan, barang, yayasan yang tergabung ; harta karun"
"雑";"zatsu ; zou";"kasar; mentah; ceroboh; berantakan, lain-lain ; miscellany (klasifikasi puisi Jepang yang tidak berhubungan dengan musim atau cinta)"
"残";"zan";"tersisa; sisa; kelebihan"
"師";"shi";"guru; menguasai; mentor seseorang, pemimpin agama, spesialis, brigade lima batalion yang terdiri dari 2.500 orang (tentara Tiongkok Dinasti Zhou)"
"支";"shi";"Cina"
"資";"shi";"dana; modal, bahan; dasar, karakter; kualitas; watak"
"識";"shiki";"perkenalan, vijnana; kesadaran, ditulis oleh..."
"式";"shiki";"persamaan; rumus; ekspresi, upacara, gaya, peraturan penegakan (dari ritsuryo)"
"失";"shitsu";"kehilangan (sesuatu); kerugian, kesalahan; kegagalan, cacat, kesalahan"
"示";"shime.su ; ji";"tunjukkan, nyatakan; mendemonstrasikan"
"相";"shou ; saga ; ai ; sou ; komogomo";"menteri negara ; sifat seseorang; takdir, kebiasaan seseorang; tradisi; kebiasaan; Konvensi ; bersama; saling; rekan ; penampilan; Lihat; muka, 'tampak' yang dihubungkan oleh peramal dengan fase, aspek, keberuntungan seseorang (misalnya padat, cair, dan gas) ; bergantian; secara berturut-turut"
"勝";"shou";"menang; kemenangan, pemandangan indah; tempat indah, penghitung kemenangan"
"商";"shou";"hasil bagi, bisnis; pedagang; dealer, tingkat kedua (skala pentatonik Jepang dan Cina), Dinasti Shang (dari Tiongkok; sekitar 1600-1046 SM); Dinasti Yin"
"職";"shoku ; soku ; shiki";"pekerjaan; bekerja; posisi, tugas, perdagangan; keahlian ; lembaga (departemen pemerintah antara kementerian dan biro di bawah sistem ritsuryō)"
"退";"shirizo.ku ; shirizo.keru ; hi.ku ; no.ku ; no.keru ; do.ku ; tai";"mundur"
"信";"shin";"kejujuran; kesetiaan, kepercayaan; keyakinan, (agama) keyakinan; pengabdian, penghitung untuk pesan yang diterima"
"直";"jiki ; choku ; atae ; ataie ; jika ; tada ; ne ; nao ; hita";"segera; sebentar lagi; tak lama kemudian, di dekatnya; tutup, langsung, transaksi spot; transaksi tunai ; langsung; secara langsung; keterusterangan; kejujuran; kesederhanaan; kegembiraan; ketepatan; menjadi lurus, tugas malam; shift (misalnya di pabrik) ; Atai (gelar turun temurun pasca-Taika yang sering diberikan kepada pengurus daerah) ; lurus; langsung ; harga; biaya, nilai; bernilai; kemampuan ; lurus, biasa; umum, tidak melakukan apa pun ; dengan sungguh-sungguh; langsung; tepat"
"実";"jitsu ; jichi ; mi ; sane ; soujimi ; tadami ; muzane ; makoto";"kebenaran; kenyataan, ketulusan; kejujuran; kesetiaan, konten; substansi, (baik) hasil ; buah; kacang, biji, (dalam kaldu) potongan daging, sayur, dll, isi; zat ; benih (dari buah); lubang; pip; batu, lidah (strip menonjol pada papan yang sesuai dengan alur di papan lain), klitoris, inti; jantung ; orang yang sebenarnya; orang tersebut, hal yang nyata; artikel asli ; kebenaran; kenyataan, ketulusan; kejujuran; integritas; kesetiaan, itu benar"
"受";"ju";"vedana (sensasi)"
"術";"jutsu ; sube";"seni; teknik, berarti; cara, trik; perangkap; merencanakan; siasat, sihir ; jalan; metode; cara"
"除";"jo";"divisi"
"助";"jo ; suke";"membantu; menyelamatkan; asisten ; pendampingan; membantu; pembantu, sayang; anak ayam; luas"
"乗";"jou";"(ke-n) kekuatan, penghitung kendaraan, perkalian, ajaran Buddha"
"情";"jou";"perasaan; emosi; sentimen, kasih sayang; simpati, gairah; kasih sayang; cinta, apa adanya; situasi sebenarnya"
"状";"jou ; sama";"membentuk; penampilan, negara; kondisi; keadaan, surat; korespondensi ; Tn.; Nyonya.; Merindukan; Nona, membuat sebuah kata menjadi lebih sopan (biasanya dalam ekspresi tetap), menyatakan; situasi; penampilan; tata krama"
"吸";"su.u ; kyuu";"tarik napas, hisap; menyerap; menarik"
"末";"sue ; matsu ; ura ; ure";"akhir; tip; atas, akhir (tahun, bulan, dll.); dekat, anak bungsu, keturunan, masa depan, (akhirnya) setelah; di akhir, hal-hal sepele, usia yang merosot ; ujung (dari), bubuk ; ujung atas; tip ; tunas baru; pertumbuhan baru (dari pohon)"
"進";"susu.mu ; susu.meru ; shin";"maju, buat kemajuan, masuk"
"洗";"sumashi ; sen";"ketidakwajaran; orang primitif, sup bening, air untuk membilas cangkir sake (di jamuan makan, dll.) ; mesin cuci (laundry)"
